Domain,Subdomain/Topic,Resource Name,Resource Link/Contact,Text in App
Parkinson's Disease,PD Support Resources,Davis Phinney Foundation,https://davisphinneyfoundation.org/,"The Davis Phinney Foundation is a patient-led organization that focuses on strategies for improving quality of life. They provide education, tools, and resources for people with PD and their families, empowering them to live well today."
Parkinson's Disease,PD Support Resources,The American Parkinson Disease Association (APDA),https://www.apdaparkinson.org/,"APDA is a leading grassroots organization dedicated to supporting individuals impacted by PD through education, research, and advocacy. They strive to enhance quality of life for people with PD."
Parkinson's Disease,PD Support Resources,The Michael J. Fox Foundation,https://www.michaeljfox.org/,"MJJF offers resources and support for individuals diagnosed with PD, including free educational resources and opportunities to participate in research studies. They provide practical tips and guidance for navigating PD, from seeing a movement disorder specialist to joining a support group."
Parkinson's Disease,PD Support Resources,Parkinson's Buddy Network,https://parkinsonsbuddynetwork.michaeljfox.org/v2/,"Join the Parkinson's Buddy Network, a free online platform connecting individuals within the PD community. The Buddy Network facilitates meaningful connections, resource sharing, and engagement through personal connections, interest-based groups, discussion spaces, and events."
Parkinson's Disease,PD Support Resources,Parkinson's Foundation PD Library,https://www.parkinson.org/resources-support/pd-library,"The Parkinson's Foundation offers a wide range of resources and support for individuals living with PD, including a helpline, local chapters, and online events. Check out their comprehensive PD library for valuable information. "
Parkinson's Disease,PD Support Resources,Parkinson's Foundation Helpline,https://www.parkinson.org/resources-support/helpline,"Staffed by nurses, social workers, and health educators, the Parkinson's Foundation Helpline provides support and information on PD topics such as disease updates, medical issues, referrals, and community resources. Open Monday – Friday, 9 a.m. – 7 p.m., EST. Email support is available at Helpline@Parkinson.org. Call the helpline at 1-800-4PD-INFO (473-4636). "
Parkinson's Disease,PD Support Resources,Great Speech,https://greatspeech.com/services/parkinsons-disease/,"Great Speech offers HIPAA-compliant speech therapy online. Get help with communication challenges such as soft speech, slurred speech, and more."
Parkinson's Disease,Research,NIH ClinicalTrials.gov,https://clinicaltrials.gov/,"Discover clinical studies worldwide on ClinicalTrials.gov. You can focus your search by condition, intervention, location, and study status to find relevant research opportunities."
Parkinson's Disease,Disability Support,ADA National Network,https://adata.org/find-your-region,"ADA National Network provides a regional locator for ADA resource centers offering a range of services for people with disabilities, including accommodations, training, employment, and school-to-work transitions. Click on the map to find your ADA Center."
Mental Health,Crisis Support,988 Suicide & Crisis Lifeline,https://988lifeline.org,"The 988 Suicide & Crisis Lifeline offers free and confidential support 24/7 for mental health-related distress. If you or someone you know is struggling or in crisis, call or text 988 or chat 988lifeline.org/chat to connect with a trained crisis counselor."
Mental Health,Emotional Support,National Alliance on Mental Illness (NAMI) Helpline,https://www.nami.org/help,"NAMI provides vital resources and raises public awareness to combat stigma. If you are struggling with your mental health, connect with a NAMI volunteer Monday – Friday, 10 a.m. – 10 p.m., EST by calling 1-800-950-NAMI (6264), texting ""HelpLine"" to 62640, or clicking ""Chat with us"" on their site."
Mental Health,Self Care,Healthline: Grounding Techniques,https://www.healthline.com/health/grounding-techniques,"Explore 30 effective grounding techniques, including physical and mental soothing practices, designed to help you navigate distressing thoughts and emotions. These exercises offer practical tools to anchor yourself in the present moment and foster a sense of calm."
Mental Health,Self Care,Destress Monday: Breathing Techniques ,https://www.mondaycampaigns.org/destress-monday/deep-breathing-practices,Discover the transformative power of deep breathing with DeStress Monday Deep Breathing Exercises — to alleviate stress and foster a sense of serenity in both body and mind. Embark on a journey of self-care and relaxation.
Mental Health,Emotional Support,Anxiety and Depression Association of America (ADAA),https://adaa.org/,"ADAA offers in-depth information on treatment and resources for anxiety, depression, and co-occurring disorders. Find free online peer-to-peer communities, a support group locator, and a “Search for an ADAA Member Telemental Health Provider in Your Area” function on their site."
Mental Health,LGBTQIA+ Support,LGBT National Hotline,https://lgbthotline.org/national-hotline/,"The LGBT National Hotline provides free, confidential support for callers dealing with sexual orientation or gender identity issues, including coming out issues and relationship concerns. Hours of operation can be found on their site. Call 888-843-4564 to speak to a trained LGBTQIA+ volunteer. "
Mental Health,LGBTQIA+ Support,LGBT National Senior Hotline,https://lgbthotline.org/senior-hotline/,"The LGBT National Senior Hotline offers a free confidential space for seniors to discuss sexual orientation or gender identity issues, including elder abuse and family dynamics. Hours of operation can be found on their site. Call 888-234-7243 to speak to a trained LGBTQIA+ volunteer. "
Mental Health,Substance Use Disorder Support,Substance Abuse and Mental Health Services Administration's (SAMHSA's) National Helpline,https://www.samhsa.gov/find-help/national-helpline,"SAMHSA’s National Helpline, 1-800-662-HELP (4357) or TTY: 1-800-487-4889 is a confidential, free, 24/7 information service for individuals and family members facing mental and/or substance use disorders. Get referrals to local treatment facilities, support groups, and community-based organizations."
Mental Health,Support for Abuse,The National Domestic Violence Hotline (NDVH) ,https://www.thehotline.org/,"NDVH is a confidential 24/7 hotline available in English and Spanish, offering emotional support, support groups, local resources, safety plans, and more for survivors of abuse or their concerned friends and family. Reach out for support by calling (800) 766-7233, text “START” to 88788, or chat online at https://www.thehotline.org/."
Mental Health,Support for Abuse,RAINN,https://rainn.org/,"RAINN's 24/7 national hotline, in both English and Spanish, offers confidential support for adult survivors of sexual assault and their loved ones. It provides information on laws, local resources, and referrals for long-term support in your community. Contact RAINN at (800) 656-4673 or chat online at https://rainn.org/."
Mental Health,Support for Abuse,National Adult Protective Services Association (NAPSA),https://www.napsa-now.org/,NAPSA offers a directory of Adult Protective Services and provides information on how to file an official report of elder abuse in each state.
Parkinson's Disease,Fitness Program,Rock Steady Boxing,https://rocksteadyboxing.org/,"Rock Steady Boxing is a nonprofit organization that empowers people with Parkinson's disease to improve their quality of life through a non-contact, boxing-based fitness program. Fnd a location near you by going to https://rocksteadyboxing.org/find-a-location/."
Parkinson's Disease,Speech Therapy,LSVT Loud by LSVT Global,https://www.lsvtglobal.com/LSVTLoud,LSVT LOUD is a research-based speech therapy program designed to help individuals with Parkinson’s disease improve their voice loudness and overall communication.
Parkinson's Disease,Physical/Occupational Therapy,LSVT Big by LSVT Global,https://www.lsvtglobal.com/LSVTBIG,"LSVT BIG is a research-based physical and occupational therapy program that helps individuals with Parkinson's disease improve movement, balance, and daily function."
