Title,Text,Input type,Group,Minimum,Maximum,Media,Items,ImageFramed,Timeout,ShowButtons,Answer,Notes or questions,Variable name,Conditions ,Input Name (if you want to save it)
Discrimination ,"We’re very sorry to hear you are experiencing stress due to discrimination or marginalization. We recognize that people have different needs following such experiences, so we want to offer a number of tools to help support you at this time.",,HD,,,,,,,,,,,,
Discrimination ,Here are some tools and resources you might find helpful at this time. Please select one or more of the following options:,Checkbox,HD,,,,"Journal::I would like to write down my thoughts and feelings tied to this experience; Reporting:: Reporting - I would like to be provided with resources tied to reporting an instance of discrimination or harassment; Self-Care::Self-Care and Wellness - I would like to be provided with resources tied to self-care and wellness practices that may be helpful following an instance of discrimination, marginalization, or harassment.; Allyship::Allyship - I would like to be provided with resources tied to providing allyship and support to others who have experienced discrimination, marginalization, or harassment.; Community::Community support - I would like to be provided with resources tied to community-building and social support; Activism::Activism - I would like to be provided with resources tied to activism and empowerment; Genetic Discrimination::Genetic Discrimination - I would like to be provided with resources tied to genetic discrimination; Mental Health (Emotional Support)::Mental Health (Emotional Support) - I would like to be provided with resources tied to receiving emotional support for my mental health; Disability Support:: Disability Support - I would like to be provided with resources tied to receiving support for my disability; Crisis Support for LGBTQ+ Youth::Crisis Support for LGBTQ+ Youth - I would like to receive crisis support tied to identifying as an LGBTQ+ young person; Training::I would like to complete a training session now to practice thinking flexibly in a different domain; ^NotMatched::These resources do not match what I am looking for at this time; ^NotNeeded::I am not looking for any additional resources at this time",,,,,,Discrimination,,Discrimination
Journal,Feel free to use the space below in any way that feels helpful for you:,Entry,HD,,,,,,,,,,,Discrimination; Journal,journal_entry_discrimination 
Reporting,"<strong>ADA File a Complaint:</strong> Here's a step-by-step guide on how to file a complaint under the Americans with Disabilities Act (ADA). <a href=""https://www.ada.gov/file-a-complaint/"">https://www.ada.gov/file-a-complaint/</a><br><br>\n\n\n\n<strong>NAMI Guide: How do I file a complaint against a medical facility/provider? </strong> Learn how to file a complaint against a medical facility or provider with this NAMI guide. <a href=""https://helplinefaqs.nami.org/article/99-how-do-i-file-a-complaint-against-a-medical-facility-provider"">https://helplinefaqs.nami.org/article/99-how-do-i-file-a-complaint-against-a-medical-facility-provider</a><br><br>",,HD,,,,,,,,,,,Discrimination; Reporting,
Self-Care,"<strong>Wellness Tools from the Black Emotional and Mental Health Collective:</strong> Explore different ways that you can care for your emotional and mental health with these resources compiled by the Black Emotional and Mental Health Collective. <a href=""https://beam.community/wellness-tools/"">https://beam.community/wellness-tools/</a><br><br>",,HD,,,,,,,,,,,Discrimination; Self-Care,
Allyship,"<strong>The Guide to Allyship:</strong> Interested in learning what it takes to be an effective ally? Here's a guide. <a href=""https://guidetoallyship.com/"">https://guidetoallyship.com/</a><br><br>\n\n\n\n<strong>Talking About Race:</strong> Conversations about race are important — here's how you can do them right. <a href=""https://nmaahc.si.edu/learn/talking-about-race"">https://nmaahc.si.edu/learn/talking-about-race</a><br><br>\n\n\n\n<strong>Guide to Being an LGBTQ+ Ally from the Human Rights Campaign:</strong> Have a look at this guide for providing allyship to the LGBTQ+ community from the Human Rights Campaign. <a href=""https://reports.hrc.org/being-an-lgbtq-ally#showing-support-for-different-identities"">https://reports.hrc.org/being-an-lgbtq-ally#showing-support-for-different-identities</a><br><br>\n\n\n\n<strong>Guide to Supporting LGBTQ+ Young People With Disabilities from the Trevor Project:</strong> Check out this comprehensive guide that talks about how to be an ally for LGBTQ+ youth with disabilities from the Trevor Project. <a href=""https://www.thetrevorproject.org/wp-content/uploads/2023/03/2024_Guide_Supporting-LGBTQ-Youth-With-Disabilities_V4.pdf"">https://www.thetrevorproject.org/wp-content/uploads/2023/03/2024_Guide_Supporting-LGBTQ-Youth-With-Disabilities_V4.pdf</a><br><br>
",,HD,,,,,,,,,,,Discrimination; Allyship,
Community,"<strong>HDSA Support Group:</strong> Find an HD support group near you through HDSA. Click the box that says HDSA Support Groups and enter your location and preferred distance to find a group. <a href=""https://hdsa.org/about-hdsa/locate-resources/"">https://hdsa.org/about-hdsa/locate-resources/</a><br><br>\n\n\n\n<strong>PFLAG Local Chapter:</strong> Find a local chapter through PFLAG, an organization devoted to LGBTQ+ people and their families. Search for a chapter by entering your zip code or state. <a href=""https://pflag.org/get-support/"">https://pflag.org/get-support/</a><br><br>",,HD,,,,,,,,,,,Discrimination; Community,
Activism,"<strong>Disability and Access Resource from Showing Up for Racial Justice:</strong> Want to learn more about Disability Justice? These Google Docs from Showing Up for Racial Justice will teach you how to become a better disability activist. <a href=""https://surj.org/resources/disability-and-access/"">https://surj.org/resources/disability-and-access/</a><br><br>\n\n\n\n<strong>HDSA: Take Action:</strong> Want to make your voice heard? Connect with HDSA to learn more about how you can take action. <a href=""https://hdsa.org/advocacyhome/TakeAction/"">https://hdsa.org/advocacyhome/TakeAction/</a><br><br>\n\n\n\n<strong>Respectability's LGBTQ+ People with Disabilities Resources:</strong>Learn more about the intersection of disability and LGBTQ+ identities. <a href=""https://www.respectability.org/resources/lgbtq/"">https://www.respectability.org/resources/lgbtq/</a><br><br>",,HD,,,,,,,,,,,Discrimination; Activism,
Genetic Discrimination,"<strong>HDSA: GINA Overview:</strong> Want to learn how the Genetic Information Nondiscrimination Act (GINA) protects you from genetic discrimination? Check out this resource from HDSA. <a href=""https://hdsa.org/living-with-hd/gina/"">https://hdsa.org/living-with-hd/gina/</a><br><br>\n\n\n\n<strong>Genome Statute and Legislation Database:</strong> Whether you're interested in health insurance nondiscrimination or genetic privacy laws, the Genome Statute and Legislation Database has you covered. <a href=""https://www.genome.gov/about-genomics/policy-issues/Genome-Statute-Legislation-Database"">https://www.genome.gov/about-genomics/policy-issues/Genome-Statute-Legislation-Database</a><br><br>\n\n\n\n<strong>National Human Genome Research Institute: Genetic Discrimination:</strong> Explore how the Genetic Information Nondiscrimination Act (GINA) protects people with HD or PD from being treated unfairly. <a href=""https://www.genome.gov/about-genomics/policy-issues/Genetic-Discrimination"">https://www.genome.gov/about-genomics/policy-issues/Genetic-Discrimination</a><br><br>\n\n\n\n<strong>GINA Fact Sheet from the US Equal Employment Opportunity Commission:</strong> Check out this fact sheet to see how the Genetic Information Nondiscrimination Act (GINA) helps protect people with HD or PD at work. <a href=""https://www.eeoc.gov/laws/guidance/fact-sheet-genetic-information-nondiscrimination-act"">https://www.eeoc.gov/laws/guidance/fact-sheet-genetic-information-nondiscrimination-act</a><br><br>",,HD,,,,,,,,,,,Discrimination; Disease-Related Discrimination,
Mental Health (Emotional Support),"<strong>NAMI Helpline:</strong>Feeling down or struggling? You don’t have to go through it alone! The NAMI HelpLine connects you with a caring peer for support.<a href=""https://www.nami.org/help"">https://www.nami.org/help</a><br><br>",,HD,,,,,,,,,,,Discrimination; Mental Health (Emotional Support),
