Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,HD scenario body ,HD photo link,HD positive/adaptive THOUGHT,HD positive/adaptive THOUGHT,HD negative/maladaptive THOUGHT,HD tolerating negative or resilience THOUGHT,HD tolerating negative or resilience THOUGHT,HD positive/adaptive FEELING,HD positive/adaptive FEELING,HD negative/maladaptive FEELING,HD tolerating negative or resilience FEELING,HD tolerating negative or resilience FEELING,HD positive/adaptive BEHAVIOR,HD positive/adaptive BEHAVIOR,HD negative/maladaptive BEHAVIOR,HD tolerating negative or resilience BEHAVIOR,HD tolerating negative or resilience BEHAVIOR
Work/Career Development,,,Important Assignment,You have an assignment at work due next week that your boss and many of your colleagues are going to see. You aren't completely comfortable with the material and worry about how the assignment will go.,https://drive.google.com/file/d/16a8hUnBv5xMFnwyNlAhcDziF8O2B0G_h/view?usp=sharing,This assignment will go well. ,I can ask for help on the assignment.,My colleagues will think I'm dumb if I do not do well. ,"I don't understand the material enough to produce a good assignment, but I think I will still get my main point across. ","My colleagues probably won't think my work is perfect, but they can give me constructive feedback that will help me improve for next time.",I feel excited to prove myself wrong. ,I feel ready to get going with the assignment.,I am worried about doing the assignment and failing.,"I feel stupid for asking for help, but I know it will help me produce better work.","I will feel disappointed in myself if I don't do good work, but that feeling will pass. ",I'll set aside time every day to work on the assignment. ,I'll ask my friends with expertise in this area questions if I don't understand something. ,I'll pretend to be sick on the due date so I don't have to do the assignment.,"I don't want to tell my family about how difficult this assignment is, but decide to tell them anyways. ","I want to work on the assignment instead of going to sleep for the night, but I realize it's important to get rest. "
Work/Career Development,Mental Health,,Struggling with a Presentation,"During today's meeting, you have to present in front of your colleagues and boss. You've been struggling to put this presentation together, but you haven't reached out to your boss about it yet. ",https://drive.google.com/file/d/1FcB5CvXNaJdV8qJE0nz1NN6MVKPtk2zJ/view?usp=sharing,"I am hardworking, and my boss will be able to tell. ",My colleagues will think that I prepared well for the presentation.,My job will be at risk if I mess up this presentation. ,"I won't perform my best today, but I'm allowed to have an off day sometimes. ","My boss will think that my presentation needs improvements, and I'll be OK with that. ",I'm glad I have the self-awareness to know I need to talk to my boss soon. ,I feel calm knowing that I tried my hardest no matter what happens. ,I'm worried about what my boss will say about my presentation. ,"I feel insecure about the quality of my presentation, but nothing that I do will be perfect. ","I'm uneasy right now, but I can take a deep breath to help myself feel calmer. ",I won't hide in my office after my presentation. ,I'll ask my boss what else I can do to show my skills. ,I'll skip this meeting tomorrow. ,"I want to avoid working on the presentation, but I know that making some progress will help me feel accomplished. ","I want to ask my colleagues how they thought I did, but it doesn't really matter what other people think.  "
Work/Career Development,Mental Health,,Struggling with a Presentation,"During today's meeting, you have to present in front of your colleagues and boss. You've been struggling to put this presentation together, but you haven't reached out to your boss about it yet. ",https://drive.google.com/file/d/1FcB5CvXNaJdV8qJE0nz1NN6MVKPtk2zJ/view?usp=sharing,This presentation will be a good opportunity for me to practice my public speaking skills.  ,My boss will be proud of me that I'm trying hard. ,My colleagues are going to be bored and talk to each other during my presentation.  ,"My boss will be disappointed by my efforts, but I can still feel proud of the work I put in.  ","I might not do my best on this presentation, but I will get through it. ",I feel happy that the presentation will be over with soon. ,I feel better knowing that colleagues are going through the same thing I am. ,I am nervous that my boss will be let down by my progress. ,"I feel embarrassed about asking my boss for help, but I admire my confidence for putting myself out there. ","I feel bad that I may not do as well on this presentation, but it's only one small part of my entire professional career. ",I make a joke at the beginning of my presentation to break the ice. ,I practice my presentation. ,I'll make up an excuse for why I didn't prepare enough for the presentation.,"I may feel upset and want to leave the meeting, but I take a few breaths to calm myself down. ","I want to give up on this task, but decide to keep trying."
Work/Career Development,Social Situations,,Research Ethics,"You’re working on a report with a few colleagues and need to report some statistics. A colleague suggests that you change the statistics so that your report looks better, but that would be lying.",https://drive.google.com/file/d/1uBmAkSPywjnsMSQJjho0yc00NRrf7zBz/view?usp=sharing,Our findings are interesting and valuable on their own.,"I think that this information is important to share, even if the results are unexpected.",I'll make a bad impression in front of my supervisor if I don't change the numbers. ,"I may not put together the best presentation, but all I can do is try my best.","My supervisor may be disappointed with our results, but I can handle it. ",I'll feel more proud of our work if I don't change our results.,I'll be more confident working on projects in the future knowing that I can interpret real data effectively.,I am upset at my coworkers wanting me to take the easy way out. ,"I'm nervous about disagreeing with my coworkers, but I know it is the right thing to do","I feel embarrassed about telling my coworkers that this is wrong, but even if they judge me, I will be okay. ",I suggest putting together the presentation without changing the results.,I am enthusiastic about finding ways to present our findings clearly and effectively.,I change our results because I'm not confident in our work.,"I want to change our results to finish the presentation more quickly, but instead I keep trying to work with what we have. ","I am tempted to change our results, but decide not to. "
Work/Career Development,Social Situations,,Answering a question,"In a meeting with a few colleagues and your boss, your boss calls on you to answer a question. You say your best answer and your coworkers are quiet.",https://drive.google.com/file/d/1MIRt_i8n5z7nk9CNWYXVsQ6oMzfE70xz/view?usp=sharing,My answer was thoughtful. ,It was nice to be able to share what I think.,My coworkers are judging my answer. ,"My answer sounded dumb because I didn't understand the question, but no one will remember tomorrow.","I didn't communicate my point as well as I would have liked this time, but I know I'll have more opportunities to speak up in the future.",I'm glad my boss gave me the opportunity to share my answer. ,I'm satisfied with how I phrased my answer. ,I was scared while answering,"I'm disappointed in myself because I couldn't say what I wanted to say, but I think my boss understood my point. ","I was really anxious while I was answering, but was able to manage my feelings.",I smile and sit back. ,I'll make sure I'm more prepared before the next meeting.,I won't speak up again in meetings.,"I feel like I should crack a joke so my coworkers forget about my answer, but don't.","I want to cry, but I take a moment to calm down and focus on the next question. "
Work/Career Development,Social Situations,,Answering a question,"In a meeting with a few colleagues and your boss, your boss calls on you to answer a question. You say your best answer and your peers are quiet.",https://drive.google.com/file/d/1MIRt_i8n5z7nk9CNWYXVsQ6oMzfE70xz/view?usp=sharing,My answer was intelligent. ,I'm happy I was able to speak up in my meeting. ,Everyone thinks my answer is wrong. ,"My answer may not have been correct, but that is okay. ","What I said wasn't perfect, but my colleagues probably didn't take note of it. ",I am happy that my coworkers can hear my answer.,I am feeling smart about how I navigated the question.,I felt self conscious while answering. ,"I am embarrassed that my answer sounded wrong, but everyone has moments like that. ","I was sad that I couldn't provide a better answer, but there is always next time. ",I take notes on my boss's response to my answer. ,I relax after saying my answer. ,I leave the meeting and go to the bathroom to avoid my colleagues.,"I want to apologize for my poor answer, but do not.","I want to cover my face, but decide to look at my boss. "
Work/Career Development,,,Trying your best,"You are presenting your progress on a project to your boss next week. Your personal life has been hectic recently, and you haven't had much time to devote to the project, leaving you with fewer updates to report than usual.",https://drive.google.com/file/d/1t-026y6XP-pi4gVvjftcxLh5fk0RnpcL/view?usp=sharing,I'm a good employee. ,I'll do my best on making progress next week. ,I'm lazy for not working more.,"My boss may not be impressed with my progress, but I can make more progress next time around.","Even if I do poorly on one progress report, that doesn't mean I'll lose my job. ",I'm confident that I can tell my boss about what's been going on. ,I feel good about how I've done at this job so far. ,I'm scared that my boss will be disappointed in me. ,"I'm embarrassed to present my work to my boss, but that feeling will pass. ","I'm nervous for the presentation, but I'll be able to handle it. ",I'll tell my boss why I haven't been able to make much progress. ,I'll tell my boss why I haven't been able to make much progress. ,I'll avoid working on the report when I feel anxious. ,"I want to avoid asking for help, but I reach out to my boss anyway.","I really don't want to work extra hours, but I will anyway because I know it'll be helpful for the report. "
Work/Career Development,Family & Home Life,,Balancing responsibilities ,"You have a lot of housework that you have to do tonight, and you also have a big project that's due tomorrow. Both have to get done, and you think about how you'll handle it all. ",https://drive.google.com/file/d/1I4HOF2-6lL6iKdgXECEzDily8_OIvcnT/view?usp=sharing,I can manage both tasks.,I think this will help me organize thoughtfully in the future. ,I don't think I can manage all of these tasks. ,"I hate feeling like I have so much to do, but I'll do my best to get it all done. ","I think this is too much work, but consider how nice it will feel when it is all done.",I'm excited to listen to my favorite artist while I do my chores.,I'm calm as I prioritize my housework and my project. ,I'm anxious about being able to get everything done. ,"Although I feel overwhelmed, I try and feel grateful for the job that I have and for the home that I live in.","I feel upset about all I have to do, but I imagine how it will feel to have it all accomplished. ",I get started on the housework. ,I start on the project first.,I sit and do nothing. ,"I just want to be lazy and take a nap, but decide to start with one task. ","I want to avoid all of the tasks, but decide to make a schedule to help organize my time. "
Work/Career Development,Family & Home Life,,Balancing responsibilities ,"You have a lot of housework that you have to do tonight, and you also have a big project that's due tomorrow. Both have to get done, and you think about how you'll handle it all. ",https://drive.google.com/file/d/1I4HOF2-6lL6iKdgXECEzDily8_OIvcnT/view?usp=sharing,I think about how great it is to be busy. ,I'm able to balance a lot.,I'm not going to be able to do all of this tonight.,"It feels overwhelming having so much to do, but I can take it one thing at a time. ","I don't know how I'm going to fit all of this in tonight, but I can make a plan. ",I'm calm as I figure out how to get everything done tonight. ,I'm excited to discover new music while I'm doing my housework. ,My stomach is in knots because I don't know if I'll get my work done. ,"I feel like I want to do nothing, but know that it will feel so great to have these tasks accomplished. ","I feel frustrated with the time crunch, but know that once I get started it will all start to flow. ",I outline a schedule for me to follow. ,I eat a snack and then start on the housework first. ,I complain about how much I have to do. ,"I sit back and start to avoid both the housework and my project, but decide to do the right thing and get up to start the first task.","I procrastinate by calling a friend, but decide to start the housework afterward. "
Social Situations,Work/Career Development,,Research Ethics,"You’re working on a report with a few colleagues and need to report some statistics. A colleague suggests that you change the statistics so that your report looks better, but that would be lying.",https://drive.google.com/file/d/1uBmAkSPywjnsMSQJjho0yc00NRrf7zBz/view?usp=sharing,I want to write this report without lying. ,People will think that the report is good. ,My colleagues are going to laugh at me for saying I don't want to include fake numbers. ,"My colleagues decide to change the statistics, but I know I can go to my supervisor if I'm concerned.","My colleagues will not want to work on another report with with me, but I'm proud of myself for doing the right thing. ",I'll be relieved when this report is done. ,I'm happier writing this report with my colleagues than when I'm alone.,I'm kind of frustrated that my colleague said we should just make up new statistics. ,"I'm anxious that my colleagues will make fun of me, but if they do, I can handle it. ","I'm worried about my performance on the report, but I know I'm trying my best. ",I decide that I won't make up the statistics. ,I encourage my colleagues to try a little longer to work on this report. ,I mess with the statistics to feel cool in front of my colleagues. ,"I want to yell at my colleagues for this idea, but I decide to tell them nicely what I think. ","I feel myself wanting to change the numbers on the report, but know that I really value being honest and not doing so. "
