Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,PD scenario body,PD scenario body #2 (negation scenarios only),PD comprehension question,PD correct response,PD incorrect response,PD photo link,Letters Missing,Occurrence
Work/Career Development,,,Showcasing your experience,"Your supervisor calls a meeting tied to a new initiative and asks each of you in turn to present your ideas and prior experience. When it is your turn to speak, you pause frequently. As you reflect on the meeting later in the day, you feel that the supervisor thought you sounded capable.",N/A,Your supervisor probably found you to be ...,Effective,Unprepared and lacking. ,https://drive.google.com/file/d/1npkE7h685FSS9kM33IyEeOyngro5KOvm/view?usp=sharing,1,2
Work/Career Development,Social Situations,,Showcasing your experience,"Your supervisor calls a meeting tied to a new initiative and asks each of you in turn to present your ideas and prior experience. When it is your turn to speak, you pause frequently. As you reflect on the meeting later in the day, you feel that the supervisor thought you sounded silly.",N/A,Your supervisor probably found you to be ...,Unprepared and lacking. ,Effective,https://drive.google.com/file/d/1npkE7h685FSS9kM33IyEeOyngro5KOvm/view?usp=sharing,1,2
Work/Career Development,,,Mistakes while working,"Even though you normally excel at your job, you recently had a rough week at work. Specifically, you made a couple of mistakes on an important project. When you think about the future, you think it is likely that your job is secure.",N/A,"In the upcoming weeks at work, you will probably ...",Learn new skills. ,Lose your job. ,https://drive.google.com/file/d/1agACToHkWhDmNIHThNfXgoaZQzoBzUw1/view?usp=drive_link,1,1
Work/Career Development,,,Deleted section,"You recently turned in a big project at work.  You decide to re-read your submitted work, and realize that you accidentally deleted a section you meant to include. Given that you accidentally made this deletion, you think that you are likely to recieve positive feedback.",N/A,Are you going to get positive feedback on your project?,Yes,,https://drive.google.com/file/d/1Yt4G6HZMK_t-ihnEQ6iXy7znjFBPDG8C/view?usp=sharing,1,1
Work/Career Development,,,Public speaking,"You are about to give a presentation to your supervisor and coworkers. The material in the presentation has come from the research you have done in your job. During the presentation, you feel that your supervisor and coworkers will think you seem smart.",N/A,Will others think you seem intelligent when presenting?,Yes,,https://drive.google.com/file/d/1un3NKc9Sb0zVmL2t-X9oQ68FQeyI49D6/view?usp=sharing,1,1
Work/Career Development,,,Certainty of being correct,"You are having an intellectual discussion with your colleague. On one of the questions they ask you, you are 90% certain that you know the correct answer. When you respond, you feel confident.",N/A,Are you uneasy about your answer?,No,,https://drive.google.com/file/d/1nVCrQvzsMF5KCRUZMiYr0rakkwQqslrO/view?usp=sharing,1,1
Work/Career Development,Social Situations,,An engaged audience,"You are required to give a presentation to a group of work colleagues that you know well. They all are quiet during your presentation. As you think about it later at home, you think that your colleagues found your presentation interesting.",N/A,Your cohort members were probably quiet because ...,They were engaged by your presentation.,They were bored by your presentation.,https://drive.google.com/file/d/12S8nfxTZe8xGCPO8jz-sGM6I1c8zCe1q/view?usp=sharing,1,1
Work/Career Development,,,New opportunity,You are at work and find out that an opportunity for promotion in your department just came up. You think you might be eligible and decide to ask your boss for more details. Your boss tells you that the selection criteria are very strict and that your application will likely be rejected.,"The next day, you bump into your boss in the corridor. You then realize that although your boss thinks you may not be ready for promotion just yet, they strongly believe you are capable of being ready for one next year and are likely to succeed.",Your boss thinks you shouldn't apply for a promotion now because ...,You will be ready for one next year.,You will never be capable.,https://drive.google.com/file/d/1OpOhL2p65K4b_HCgRQpLm16ZlkzUCe2s/view?usp=sharing,1,1
Work/Career Development,Social Situations,,Feedback on your work,"You recently turned in a report, and your boss asks to see you about your work. As you walk into their office, they tell you to sit down because there's lots of feedback to go through, and they look at you with a frown.","During the meeting, you realize that your boss is taking great care to give you useful feedback and that they see this as a way to provide you with a valuable learning opportunity.",Your boss probably thinks that ...,You have great potential.,You are incapable.,https://drive.google.com/file/d/1LeCW8Zaw5qO3kfJKG0mZmeeHjw8dApHc/view?usp=sharing,1,1
Work/Career Development,,,Writing opinions,"Your supervisor asks you to write a report. The finished document is quite brief but took a lot of time and effort. Based on your writing, you expect your supervisor's opinion of you will be positive.",N/A,Your supervisor probably found you to be...,Capable,Incapable,https://drive.google.com/file/d/1Zwj-98ezSg12UdfsYVfxCdgM2a2O6XHw/view?usp=sharing,1,2
Work/Career Development,,,Writing opinions,"Your supervisor asks you to write a report. The finished document is quite brief but took a lot of time and effort. Based on your writing, you expect your supervisor's opinion of you will be negative.",N/A,Your supervisor probably found you to be...,Incapable,Capable,https://drive.google.com/file/d/1Zwj-98ezSg12UdfsYVfxCdgM2a2O6XHw/view?usp=sharing,1,2
Work/Career Development,,,Interview anticipation,"You are being interviewed for a leadership position within your department. Before you walk into the room, you notice you feel shaky. You feel incredibly excited.",N/A,Does feeling shaky frighten you?,No,,https://drive.google.com/file/d/1No3R7ItN8sCZWVE76oQA483ECW65wV2l/view?usp=sharing,1,1
Work/Career Development,Social Situations,,Important evaluation,You have almost completed an important project. Part of your evaluation is determined by your coworkers. You know most of them well and feel that their opinions of you will make them evaluate you favorably.,N/A,Your coworkers will probably...,Give you a good score.,Give you a bad score.,https://drive.google.com/file/d/1FcB5CvXNaJdV8qJE0nz1NN6MVKPtk2zJ/view?usp=sharing,1,1
Work/Career Development,,,A lengthy read,"You have been assigned a task, and you try very hard to make sure it is thorough. The job is quite difficult. When your supervisor sees it, you think they will judge your efforts as suitable.",N/A,Will your supervisor judge your efforts as reasonable?,Yes,No,https://drive.google.com/file/d/1RKi9OcuyFaniZ5jGBXttumHbaAOKNP2G/view?usp=sharing,1,1
Work/Career Development,Social Situations,,Bad rumor,"You heard a rumor your supervisor is planning on firing someone in your position. Although you are normally a good employee, you were late for a meeting earlier this week. You feel that the probability of you getting demoted is minimal.",N/A,You think that your supervisor could be ...,Planning to fire someone else.,Planning to fire you.,https://drive.google.com/file/d/1Ufz-pbEsTswKD1WwWeGUqfBKkpWje2t7/view?usp=sharing,1,1
Work/Career Development,Social Situations,,Quick task completion,"You have started working on a new committee with other staff, and you are given a task that normally takes a few days, but you manage to finish it the same day. You show it to the rest of the committee, who find only one mistake in your work. As the meeting ends, you expect they think your work is commendable.",N/A,Was the committee pleased with your work?,Yes,No,https://drive.google.com/file/d/1L13QcCiq5pWIaUjHGkFhwwQeosh7S9tG/view?usp=sharing,1,1
Work/Career Development,,,Future limitations,This morning you hear the news that a lot of companies are currently downsizing. You think about what will happen if you lose your job. You decide that finding another job will be possible.,N/A,"If you lose your job, you will probably ...",Find a new job that you enjoy. ,Be unable to support yourself. ,https://drive.google.com/file/d/1RnImJE-U_C1bMfkgSBjJk7I4RaUqraB1/view?usp=sharing,1,1
Work/Career Development,Social Situations,,A sudden stumble,"It is your first day at a new job, and you report to your manager. As you approach them, you stumble, then recover. They noticed, and their first impression of you is probably that you are very prepared.",N/A,Your manager will probably think that ...,You are ready to take on challenges.,You are a clumsy person.,https://drive.google.com/file/d/1DttLONiIj8xl29lRpUM8ExKkKo4JbVNe/view?usp=sharing,1,1
Work/Career Development,,,An interview panel,"You are the third and final candidate to be interviewed for a job. The interview panel greets you as you walk into the conference room. When you sit down, you feel your cheeks burning red, and you start to shake. The panel probably sees you as nervous.","After the interview, you realize that it is normal to be nervous during panel interviews. The panelists probably saw you as reasonably calm and enthusiastic.",Do you think the interviewers see you as a nervous person?,No,Yes,https://drive.google.com/file/d/1mTDpifErX2S2EJttSEMaqR6mz1MpzjR7/view?usp=sharing,1,1
Work/Career Development,Social Situations,,Correction,"In the corridor at work, your boss asks you a question, and you realize you respond incorrectly. Your boss corrects you. You think the experience of being corrected by your boss is awful.","In the end, you remind yourself that occasionally making mistakes does not make you a bad employee. Your boss had corrected you kindly, as was their job, and you feel that the whole interaction went well.",Is it okay to occasionally answer a question from your boss incorrectly?,Yes,No,https://drive.google.com/file/d/1LkIEzSKHGt3ThPYYrQWPZjfUroEcuFve/view?usp=sharing,1,1
Work/Career Development,Social Situations,,Contributing to a discussion,Your boss calls a meeting to discuss a new project that will involve most of the staff at your office. You are suddenly asked to contribute your ideas to the discussion. You quickly come up with some ideas on the spot and think that your colleagues will find your ideas to be exciting.,N/A,The people in your office will probably ...,Support your ideas.,Dislike your ideas. ,https://drive.google.com/file/d/1JLyALw0FAi4CqbIXE3sRzXwYRToDyEgw/view?usp=sharing,1,1
Work/Career Development,Social Situations,,A night off,"You have a big project due at the end of the week. Your work isn't finished, but you consider taking a break to go out with friends. Taking the night off would be reasonable. ",N/A,Is it okay that you stopped working to go out with friends?  ,Yes,No,https://drive.google.com/file/d/1sp47R6r1ixHVuH4FTKwHC2nrZaym61Iy/view?usp=sharing,1,1
Work/Career Development,Social Situations,,Word stumbling,"You have to make a presentation about your work to your colleagues and your boss. As you start, you stumble on your first few words. Continuing with it, you think that your performance will be evaluated positively.",N/A,Do you think others will like your presentation?,Yes,No,https://drive.google.com/file/d/1xUVHP-lj26dCvOIiMMMta2bgIGRH5hR9/view?usp=sharing,1,1
Work/Career Development,Social Situations,,Optional presentation,"Your boss has hired a few interns for the summer. Your boss asks you to stay after work to give them a brief presentation about the university's goals and values but tells you that this is completely optional. You feel a little nervous about giving the presentation, and you decide to stay.",N/A,Do you stay to give the optional presentation?,Yes,No,https://drive.google.com/file/d/1f7AX8AtByV-EKIO86OXhrR2a6P9gCwXU/view?usp=sharing,1,1
Work/Career Development,Social Situations,,Writing workshop,"A coworker suggests that your team participates in a workshop on writing for the workplace. You go online and read information about the workshop. As you navigate through the site, the thought of other people looking at your writing makes you feel enthusiastic",N/A,Do you expect to feel uncomfortable if others look at your work?,No,Yes,https://drive.google.com/file/d/1vQbs0ifLnQbnC1ejFEq6WujzKLqZl7vv/view?usp=sharing,1,1
Work/Career Development,Social Situations,,Nerve-wracking presentation,"You have to give a presentation to your boss. As you think about the talk, you feel butterflies in your stomach. On the morning of the talk, you feel nervous, and you think your nerves will be manageable.",N/A,Are you able to tolerate your anxiety?,Yes,No,https://drive.google.com/file/d/16jiyG_dY7BTG2s8QjNuSQJn_RwkLlqXH/view?usp=sharing,1,1
Work/Career Development,Social Situations,,A small presentation,"You are working on a project you enjoy. However, you were just informed that during the next staff meeting you will have to give a five-minute oral presentation to the rest of the staff. On the evening before the presentation, you feel frightened about the idea of public speaking, and you decide your fear is tolerable.",N/A,Can you handle your fear of giving the oral presentation?,Yes,No,https://drive.google.com/file/d/1V-HyzPWcCSIQCjmLetck1SbZQT1cVtgr/view?usp=sharing,1,1
Work/Career Development,Social Situations,,Brief call,"You are in meeting, and during a brief break you call home to speak to your significant other. You are late getting back into the meeting room and everyone looks up when you open the door. Others see your actions as disruptive.",After the meeting you realize that the other students were probably just surprised that the door suddenly opened. Chances are they think that your opening and closing the door quietly means you are considerate.,Did people think your returning to the meeting late was rude?,No,Yes,https://drive.google.com/file/d/1erMRFTmY4lmvlMrKvVk2If-RizKCWZ0l/view?usp=sharing,1,1
Work/Career Development,Social Situations,,Giving a speech,"You are giving a speech at a convention for work. As you speak, you look into the crowd and notice that your boss’s expression is almost emotionless, but you can make out a slight frown.","After the speech, you realize that people often look emotionless and frown when they are concentrating and focusing hard. You think that your boss was most likely feeling impressed.",Does your boss’s neutral expression mean that they are disappointed with your speech?,No,Yes,https://drive.google.com/file/d/1j_wTSZ6LyYqWqgOAZFYdxFtjd0jBduSd/view?usp=sharing,1,1
Work/Career Development,,,Unstable WiFi,"You don't have stable internet access at home and you found out UVA has converted to online operations. You wonder how you'll be able to keep up with your work. As you think about the situation, you feel stressed.",N/A,Are you worried about keeping up with your work? ,Yes,No,https://drive.google.com/file/d/1Dyk0jx8bXiVMVELskA1wH2t85AfZV8H8/view?usp=sharing,1,1
Work/Career Development,,,Write Your Own,,,,,,,2,8
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,write your own,0
,,,,,,,,,,write your own,0
,,,,,,,,,,write your own,0
Family & Home Life,,,A loud sound,"You are at home alone watching TV at night. You must have been dozing, because you suddenly wake up after hearing a loud noise. You look outside and see an intruder.",N/A,Should you be frightened when you hear a noise at night?,Yes,No,https://drive.google.com/file/d/112L-8dcWTlW0PBIwlzQ1tji-mxaOJI19/view?usp=sharing,1,2
Family & Home Life,Social Situations,,Reconciling with your friend,"A few days after an argument with your friend, you decide to break the ice by asking them to come over for dinner. You get ready, and as you are about to leave, they call to say they can't make it after all. As you hang up, you think that this is because they are feeling exhausted.",N/A,Your friend cancelled the meeting because they are...,Exhausted from a busy week,Mad at you.,https://drive.google.com/file/d/1LZnhgjX_Ooy4zJ7r99Iydqi6bvIOcszd/view?usp=sharing,1,1
Family & Home Life,,,A loud sound,"You are at home alone watching TV at night. You must have been dozing, because you suddenly wake up after hearing a loud noise. You look outside and see a squirrel.",N/A,Should you be frightened when you hear a noise at night?,No,Yes,https://drive.google.com/file/d/112L-8dcWTlW0PBIwlzQ1tji-mxaOJI19/view?usp=sharing,1,2
Family & Home Life,Physical Health,,Health and aging,You visit a childhood friend for the holidays and notice that they are getting older. You find yourself wondering what their health will be like in the future. You think their health will likely be good.,N/A,Your friend will probably ...,Remain healthy in the future.,Get sicker in the future.,https://drive.google.com/file/d/1WQ98TKdbZ08AjbW2rG-0WPXkWDfK2eYl/view?usp=sharing,1,2
Family & Home Life,,,Travel decisions,"You are considering multiple options for where to go for vacation. You have only a little bit of information about each potential destination before you make your choice. When you decide, you feel satisfied.",N/A,Are you content with your decision for where to go on vacation?,Yes,No,https://drive.google.com/file/d/1m7hh0KAbEypRGlvsWor7NXW3kZ2Bmlem/view?usp=sharing,1,1
Family & Home Life,,,Space heater,"You rushed out of your house this morning. Once at work, you wonder whether you forgot to turn off your space heater. The likelihood that the space heater will cause a fire is minimal.",N/A,Will your space heater cause a fire? ,No,Yes,https://drive.google.com/file/d/12yVqiIYwySGiWCN59JefWnXYMM955wDC/view?usp=sharing,1,1
Family & Home Life,,,A lucky find,"You are looking for a new house. While on your first tour, you fall in love with the place and decide to sign a lease. The fact that you did not check out other houses makes you feel fine.",N/A,"When you move into your house, you will probably ...",Find that your house feels like home. ,Regret your decision. ,https://drive.google.com/file/d/1vHb2dINLjpzSvf2tdF5e5shVae0oDjxQ/view?usp=sharing,1,1
Family & Home Life,,,Monday Phone Call,"Every Monday you call your parent to say hello. Today is Monday, and they did not pick up the phone when you called, which is unusual. Your parent probably did not answer the phone because they are busy.",N/A,Is your parent unable to talk because they are ill?,No,Yes,https://drive.google.com/file/d/1VKdf9frnu773HFSGrvavtdHyGsg0A04S/view?usp=sharing,1,1
Family & Home Life,,,Finding Balance,At home there are a lot of chores on the schedule for you to accomplish. You have a big project to work on that will take a lot of time. Balancing your home life and work life is stressful.,"You look for calming music to listen to while you do your chores. As you start to tackle your to-do list, you feel confident.",Are you overwhelmed by what you need to accomplish? ,No,Yes,https://drive.google.com/file/d/1cQbfhuu2-vL7J0Igqz9iQOuZsJQ0wTlZ/view?usp=sharing,1,1
Family & Home Life,,,Running Low on Battery,"You're going on a long car ride with your family to visit family in another part of the state. After an hour, you notice your phone battery is almost dead and you don't have a charger. You think about the rest of the car ride and feel like you will be miserable.","After worrying about it for a few minutes, you realize that you can use this time to talk to your family. You feel  better.",Will the car ride be ok without your phone?,Yes,No,https://drive.google.com/file/d/1hVhpy_8MrHNJ7D6TGUs42mXmkuk4t4W8/view?usp=sharing,1,1
Family & Home Life,Physical Health,,Health and aging,You visit a childhood friend for the holidays and notice that they are getting older. You find yourself wondering what their health will be like in the future. You think their health will likely be declining.,N/A,Your friend will probably ...,Get sicker in the future.,Remain healthy in the future.,https://drive.google.com/file/d/1WQ98TKdbZ08AjbW2rG-0WPXkWDfK2eYl/view?usp=sharing,1,2
Family & Home Life,Mental Health,,Stuck in the Middle,"You’re at home reading a book when you hear members of your household fighting. You wonder why they are yelling at each other, and then one of them says your name. You realize that the reason why they’re arguing is probably not your fault.",N/A,Is it your fault that they are fighting?,No,Yes,https://drive.google.com/file/d/1ftgcSnzMhpFI41H8c5OD_1qoWZWEzBP2/view?usp=sharing,1,1
Family & Home Life,,,Dealing with Embarrassment,"Your partner is dropping you off at a conference event.  As they drop you off, they are really loud and make you feel embarrassed. As you get out of the car, you feel fine.",N/A,Are you able to tolerate your partner dropping you off? ,Yes,No,https://drive.google.com/file/d/1_yNUHw34Vp2RxqAunp0iGwPNqOzTzKbc/view?usp=sharing,1,1
Family & Home Life,,,New Recipe,"You get an idea for a new recipe that involves ingredients you have never used before. You make it for your family. As everyone starts to eat, you feel proud.",N/A,Are you worried about what your family will think of your cooking? ,No,Yes,https://drive.google.com/file/d/1vTuw-1aglVPbYE4oaEYbIP6LLuikDSFt/view?usp=sharing,1,1
Family & Home Life,,,Noises from Outside,You just moved to a new house. It's dark out and you suddenly hear noises outside. You peek out the window and see a cat.,N/A,Was there something scary outside in the dark? ,No,Yes,https://drive.google.com/file/d/11Vs9sz9BDAkaj5QCxD927t-mz-VTFWXn/view?usp=sharing,1,1
