Name of Survey,Title,Doses,Subject,Text,Input type,Input type 2,Minimum,Maximum,Media,Items,ImageFramed,Timeout,ShowButtons,Answer,Notes or questions,Variable name,Conditions,Input Name (if you want to save it),CanBeFavorited
Welcome!,Welcome!,1,HD_Dose,"Welcome to Mindtrails Movement! This initial session will be a bit longer than future sessions. You’ll first be asked to complete some surveys about your mental health and thinking patterns. Then, we’ll give you some more information about the rationale for this program and explain how to get the most out of the app. You’ll have the opportunity to set up a meeting with the research team at the end of this session if you have any questions or concerns. Ready to get started? Hit the Next button below to begin filling out questionnaires.",,,,,,,,,,,,,,,
Demographics,Demographics,1,HD_Dose,What is your gender identity?,Buttons,,,,,0::Woman; 1::Man; 2::Transgender Woman; 3::Transgender Man; 4::Another identity; 99::Prefer not to answer,,,,,,,,gender,
Demographics,Demographics,1,HD_Dose,What sex were you assigned at birth?,Buttons,,,,,0::Female; 1::Male; 2::Intersex; 3::Unknown or other; 99::Prefer not to answer,,,,,,,,,
Demographics,Demographics,1,HD_Dose,What is your birth year?,Picker,,1935 or before,2010,,1935 or before; 1936; 1937; 1938; 1939; 1940; 1941; 1942; 1943; 1944; 1945; 1946; 1947; 1948; 1949; 1950; 1951; 1952; 1953; 1954; 1955; 1956; 1957; 1958; 1959; 1960; 1961; 1962; 1963; 1964; 1965; 1966; 1967; 1968; 1969; 1970; 1971; 1972; 1973; 1974; 1975; 1976; 1977; 1978; 1979; 1980; 1981; 1982; 1983; 1984; 1985; 1986; 1987; 1988; 1989; 1990; 1991; 1992; 1993; 1994; 1995; 1996; 1997; 1998; 1999; 2000; 2001; 2002; 2003; 2004,,,,,,,,birthyear,
Demographics,Demographics,1,HD_Dose,What is your race? Please select all that apply.,Checkbox,,,,,0::American Indian/Alaska Native; 1::East Asian; 2::South Asian; 3::Native Hawaiian/Pacific Islander; 4::Black or African American; 5::White; 6::More than one race; 7::Other or Unknown; 99::Prefer not to answer,,,,,,,,race,
Demographics,Demographics,1,HD_Dose,What is your ethnicity?,Buttons,,,,,1::Hispanic or Latino; 0::Not Hispanic or Latino; 3::Unknown; 99::Prefer not to answer,,,,,,,,ethnicity,
Demographics,Demographics,1,HD_Dose,What is your highest educational attainment?,Buttons,,,,,0::Elementary School; 1::Junior High; Some High School; 2::High School Graduate; 3::Some College; 4::Associate’s Degree; 5::Bachelor’s Degree; 6::Master’s Degree; 7::Doctorate/PhD; 99::Prefer not to answer,,,,,,,,education,
Demographics,Demographics,1,HD_Dose,What is your relationship status?,Buttons,,,,,"0::Single; Single, but casually dating; 1::Single, but currently engaged to be married; 2::Single, but currently living with someone in a marriage-like relationship; 3::Married; In a domestic or civil union; 4::Separated; 5::Divorced; 6::Widow/widower; 7::Other; 99::Prefer not to answer",,,,,,,,relationship,
Demographics,Demographics,1,HD_Dose,What is your employment status?,Buttons,,,,,1::Working full-time; 2::Working part-time; 0::Unemployed or laid off; 3::Looking for work; 4::Homemaker/keeping house or raising children full-time; 5::Retired; 6::Student; 7::Other; 8::Unknown; 99::Prefer not to answer,,,,,,,,employment,
Demographics,Demographics,1,HD_Dose,"What is your household annual income, before taxes and other deductions (in US dollars or equivalent)?",Buttons,,,,,"0::Less than $5,000; $5,000 through $11,999; $12,000 through $15,999; 1::$16,000 through $24,999; 2::$25,000 through $34,999; $35,000 through $49,999; 3::$50,000 through $74,999; $75,000 through $99,999; $100,000 through $149,999; 4::$150,000 through $199,999; 5::$200,000 through $249,999; $250,000 or greater; 6::Don’t know; 99::Prefer not to answer",,,,,,,,income,
Demographics,Demographics,1,HD_Dose,How many CAG repeats do you have on your pathologic gene?,Picker,,,,,35 or fewer; 36; 37; 38; 39; 40; 41; 42; 43; 44; 45; 46; 47; 48; 49; 50; 51; 52; 53; 54; 55; 56; 57; 58; 59; 60 or more; Unknown or prefer not to answer,,,,,,,,,
Demographics,Demographics,1,HD_Dose,Have you or others around you noticed that you have abnormal movements sometimes?,Buttons,,,,,1::Yes; 0::No; 2::I'm not sure; 99::Prefer not to answer,,,,,,AbnormalMovements,,,
Demographics,Demographics,1,HD_Dose,How old were you (in years) when these abnormal movements first became noticeable?,Picker,,20 or younger,60 or older,,20 or younger; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36; 37; 38; 39; 40; 41; 42; 43; 44; 45; 46; 47; 48; 49; 50; 51; 52; 53; 54; 55; 56; 57; 58; 59; 60 or older,,,,,,,AbnormalMovements; 1,,
Demographics,Demographics,1,HD_Dose,How old were you (in years) when you were first diagnosed with Huntington's Disease?,Picker,,20 or younger,60 or older,,20 or younger; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36; 37; 38; 39; 40; 41; 42; 43; 44; 45; 46; 47; 48; 49; 50; 51; 52; 53; 54; 55; 56; 57; 58; 59; 60 or older,,,,,,,,,
Demographics,Demographics,1,HD_Dose,How did you learn about MindTrails-Movement? (select all that apply),Checkbox,,,,,"0::Huntington's Disease Society of America website/HDTrialFinder; 1::Email from the study team; 2::From a newsletter or email associated with a HD resource (e.g., HDSA newsletter, HSG email, HDBuzz); 3::My HD healthcare provider; 4::A friend or family member; 5::In-person event (e.g., HDSA Annual Convention, Team Hope Walk, Education Day); 6::Support group; 7::Social media; !8::Other:; ^99::Prefer not to answer",,,,,,,,,
Mental Health and Treatment Questionnaire,Mental Health and Treatment Questionnaire,1,HD_Dose,"We would like to ask a few questions about your mental health and treatment history. Answers to these personal questions are kept confidential, but they help us improve MindTrails-Movement by figuring out for whom it works well.",,,,,,,,,,,,,,,
Mental Health and Treatment Questionnaire,Mental Health and Treatment Questionnaire,1,HD_Dose,Are you currently struggling with any of the following mental disorders? Please select all that apply.,Checkbox,,,,,0::Generalized anxiety disorder (GAD); 1::Obsessive-compulsive disorder (OCD); 2::Panic disorder; 3::Agoraphobia; 4::Posttraumatic stress disorder (PTSD); 5::Social anxiety disorder; 6::Specific phobia(s); 7::Dementia or other cognitive disorder; 8::Substance use disorder; 9::Schizophrenia or other psychotic disorder; 10::Depression; 11::Bipolar disorder; 12::Eating disorder; 13::Personality disorder; 14::Intellectual Disability; 15::Autism Spectrum Disorder; 16::Attention-Deficit/Hyperactivity Disorder; ^17::I am not struggling with a mental disorder; !18::Other; ^99::Prefer not to answer,,,,,specify other,MentalDisorder,,mental_health_disorders,
Mental Health and Treatment Questionnaire,Mental Health and Treatment Questionnaire,1,HD_Dose,"Are you currently receiving any help for issues related to mental health? Please select all that apply, or “I am not receiving help”.",Checkbox,,,,,"Therapy::Therapy (talking with a trained professional)\n\nExamples: Psychologist, licensed mental health practitioner (LMHC), school counselor, social worker, marriage and family therapist, group therapist; Prescription:: Prescription medications\n\nExamples: Psychiatrist, medical doctor; Support group; Social::Seeking other social support (talking with non-professionals)\n\nExamples: Teacher, family member, friend, religious leader, coach; SelfHelp::Self-guided help\n\nExamples: Self-help book, blogs, online intervention (other than MindTrails-Movement), mobile applications; OTC::Over-the-counter medications and/or supplements; ^None::I am not receiving help; ^NoAnswer::Prefer not to answer; !Other::Other:",,,,,specify other,HelpReceived,,help,
Mental Health and Treatment Questionnaire,Mental Health and Treatment Questionnaire,1,HD_Dose,Has therapy (talking with a trained professional) been helpful? \n\n1 = Not helpful at all\n4 = Somewhat helpful\n7=Extremely helpful,Slider,,1,7,,,,,,,,,HelpReceived; Therapy,therapy_helpful,
Mental Health and Treatment Questionnaire,Mental Health and Treatment Questionnaire,1,HD_Dose,Have prescription medications been helpful? \n\n1 = Not helpful at all\n4 = Somewhat helpful\n7=Extremely helpful,Slider,,1,7,,,,,,,,,HelpReceived; PrescriptionMedications,prescriptions_helpful,
Mental Health and Treatment Questionnaire,Mental Health and Treatment Questionnaire,1,HD_Dose,Has a support group been helpful? \n\n1 = Not helpful at all\n4 = Somewhat helpful\n7=Extremely helpful,Slider,,1,7,,,,,,,,,HelpReceived; SupportGroup,social_support_helpful,
Mental Health and Treatment Questionnaire,Mental Health and Treatment Questionnaire,1,HD_Dose,Has seeking other social support (talking with non-professionals) been helpful? \n\n1 = Not helpful at all\n4 = Somewhat helpful\n7=Extremely helpful,Slider,,1,7,,,,,,,,,HelpReceived; SeekingOtherSocialSupport(talkingWithNon-professionals),Other_social_support_helpful,
Mental Health and Treatment Questionnaire,Mental Health and Treatment Questionnaire,1,HD_Dose,Has self-guided help been helpful? \n\n1 = Not helpful at all\n4 = Somewhat helpful\n7=Extremely helpful,Slider,,1,7,,,,,,,,,HelpReceived; SelfGuidedHelp,self-guided_helpful,
Mental Health and Treatment Questionnaire,Mental Health and Treatment Questionnaire,1,HD_Dose,Has over-the-counter medications and/or supplements been helpful? \n\n1 = Not helpful at all\n4 = Somewhat helpful\n7=Extremely helpful,Slider,,1,7,,,,,,,,,HelpReceived; OTC,OTC_meds_helpful,
Mental Health and Treatment Questionnaire,Mental Health and Treatment Questionnaire,1,HD_Dose,"Has what you specified in ""other"" been helpful? \n\n1 = Not helpful at all\n4 = Somewhat helpful\n7=Extremely helpful",Slider,,1,7,,,,,,,"Based on if they press: therapy, precription medications, seeking social support, self-guided help, over-the-counter medications and/or supplements, other",,HelpReceived; Other,other_helpful,
Mental Health and Treatment Questionnaire,Mental Health and Treatment Questionnaire,1,HD_Dose,There are many reasons people do not receive help. Why are you not receiving mental health treatment? Please select all that apply.,Checkbox,,,,,"0::I don't think a prescription medication would help me; 1::I don't like the idea of taking prescription medication; 2::I can't afford to pay for treatment; 3::I don't want to talk to a mental health professional (e.g., a therapist); 4::I don't think that a mental health professional can help me; 5::It is hard to find a mental health professional near me; 6::I don't know how to find a mental health professional; 7::I am embarrassed to seek treatment; I don't want to be asked to face my fears (e.g., not wanting to interact with a spider for a person with spider fear); 8::I don't want to talk about my feelings; 9::I don't have time; I had treatment previously and didn't find it helpful; 10::I don't need help at this time; !11::Other; ^99::Prefer not to anwer",,,,,,,HelpReceived; None,reasons_not_receiving_help,
Mental Health and Treatment Questionnaire,Mental Health and Treatment Questionnaire,1,HD_Dose,"In the past two months, have there been any changes to your mental health treatment? Check all that apply. ",Checkbox,,,,,0::I started therapy; 1::I ended therapy; 2::I changed therapists; 3::My prescriber changed my prescription dose; 4::I started a prescription medication; 5::I stopped a prescription medication; ^6::I haven’t had any changes; !7::Other; ^99::Prefer not to answer ,,,,,specify other,ChangesToMentalHealthTreatment,,changes_treatment,
Mental Health and Treatment Questionnaire,Mental Health and Treatment Questionnaire,1,HD_Dose,Please specify any medication changes in the past 2 months:,Entry,,,,,,,,,,,,"ChangesToMentalHealthTreatment; 3, 4, 5",changes_treatment_meds,
Mental Health and Treatment Questionnaire,Mental Health and Treatment Questionnaire,1,HD_Dose,Do you have moderate-to-severe anxiety or depression symptoms?,Buttons,,,,,Yes::Yes; No::No; Unsure::Unsure,,,,,,anxiety_or_depression,,anxiety_or_depression,
