Name of Survey,Title,"Which doses? (1, All, EOD, Biweekly, ReasonsForEnding)",Before_after,Text,Input type,Input type 2,Minimum,Maximum,Media,Items,ImageFramed,Timeout,ShowButtons,Answer,Notes or questions,Variable name,Conditions ,Input Name (if you want to save it),CanBeFavorited
Write your own!,Write your own!,,,"In this exercise, help the Mindtrails Movement team come up with new training stories that may be included in our future program to help other participants!",,,,,,,,,,,,,,,
Write your own!,Write your own!,,,"Think about a situation that makes you anxious that has occurred for you in the past, or that you worry will happen in the future. Please write your own training story based on this situation, making sure to include a positive or non-threatening ending in the final sentence of the story.",,,,,,,,,,,,,,,
Write your own!,Write your own!,,,"Keep in mind that each story is about 3 sentences long. The first part should set up a challenging situation that could bring up some anxiety where it is unclear what the outcome of the situation will be. The final part should resolve the uncertainty in a positive or non-threatening way. In other words, the last sentence should make clear that the situation does not turn out to be unmanageable in the end.",,,,,,,,,,,,,,,
Write your own!,Write your own!,,,"Not sure what to write? Here’s an example:\n\nPart 1:\nI send an email message to a friend asking them to grab coffee, but they never respond. I wonder if they are mad at me.\n\nPart 2:\nThinking back on the last time I got together with this friend, I remember they don’t check email often and I feel … relieved.\n\nNotice that the statement, ""I wonder if they are mad at me"" creates uncertainty, but the final sentence resolves this in a non-threatening way.\n\nNow it’s your turn to try it out! ",,,,,,,,,,,,,,,
Write your own!,Write your own!,,,Part 1: Set up the uncertain situation in 1-2 sentences,Entry,,,,,,,,,,,,,Part1_WYO,
Write your own!,Write your own!,,,Part 2: Resolve the uncertainty in a non-threatening way with the final sentence,Entry,,,,,,,,,,,,,Part2_WYO,
Write your own!,Write your own!,,,"Now, on the next page, list as many reasons as you can think of for why the ending in the scenario could be likely to occur to you. For example, why do you think you will be able to handle the situation, or what evidence is there to suggest that the situation will turn out okay?",,,,,,,,,,,,,,,
Write your own!,Write your own!,,,"To help you get started, let’s return to the example of emailing a friend to get coffee and wondering why they didn’t respond. Below are some reasons why you might feel relieved in this situation:\n\nThis friend has told me that they like hanging out with me, so they probably wouldn’t ignore me on purpose.\n\nI didn’t get into an argument with this person recently, so it’s unlikely that they are mad at me.\n\nA lot of times people send emails to me that I forget to respond to, and it doesn’t mean that I am mad at them.\n\nMy friend could be busy and hasn’t read my message yet.\n\nIf my friend was mad at me, they probably would say something rather than just ignore me. In the past, they have always told me if they were upset.",,,,,,,,,,,,,,,
Write your own!,Write your own!,,,"Now it’s your turn! Thinking about the short story you just created, what are some reasons why this positive or non-threatening ending might have occurred? Really try to come up with a few different explanations.\n\nReason 1:",Entry,,,,,,,,,,,,,Reason1_WYO,
Write your own!,Write your own!,,,Reason 2:,Entry,,,,,,,,,,,,,Reason2_WYO,
Write your own!,Write your own!,,,Reason 3:,Entry,,,,,,,,,,,,,Reason3_WYO,
Write your own!,Write your own!,,,Reason 4:,Entry,,,,,,,,,,,,,Reason4_WYO,
Write your own!,Write your own!,,,Reason 5:,Entry,,,,,,,,,,,,,Reason5_WYO,
