Rank,Académicos/Trabajo/Desarrollo Profesional,Vida Familiar y Doméstica,Finanzas,Salud Mental,Salud Física,Situaciones Sociales,Relaciones Romanticas,Otro 
1,"Si ha pospuesto una tarea porque le parece abrumadora, intente dividirla en pasos más pequeños y manejables.","En interacciones difíciles, concéntrate en lo que puedes controlar y define tus objetivos en términos de cómo abordas la situación. Recuerde que no puede controlar cómo se sienten y actúan otras personas.","Si se enfrenta a dificultades financieras, dé un paso atrás y trate de identificar sobre qué tiene control (y sobre qué no). Por ejemplo, puede crear un presupuesto y realizar un seguimiento de sus gastos en el futuro, aunque es posible que no pueda devolver algo que ya compró.","Si se siente ansioso o nervioso, pregúntese: ""¿Qué me dice mi cerebro ansioso?"" Una vez que puedas identificar ese pensamiento, pregúntate: ""¿Es esto realista?""","Si nota que su corazón se acelera o tiene problemas para respirar, pregúntese si podría haber una explicación perfectamente inofensiva de por qué su cuerpo reacciona de esa manera (por ejemplo, ¿acaba de subir un tramo de escaleras?)","Cuando sientas que los demás te están juzando negativamente, observa si los hechos de la situación apoyan esa emoción (por ejemplo, probablemente te estén mirando porque están escuchando lo que estás diciendo, no proque piensen que eres feo)","Si te sientes frustrado con tu pareja, pregúntate si has comunicado tus sentimientos o si esperas que te lean la mente. A veces no nos damos cuenta cuando esperamos que nuestros seres quidos sepan lo que estamos pensando. ","¿Sabías que nuestros cerebros ansiosos son particularmente buenos para recordar cosas malas del pasado? Si reconoces que te estás concentrando en recuerdos negativos del pasado, intenta desafiarte a recordar también algunos momentos felices."
2,"Identifique el contexto de su situación preguntándose: ""¿Cuál es el desafío al que me enfrento?"" Hacer esto explícito puede ayudarle a identificar sus objetivos y los pasos necesarios para alcanzarlos.",Está bien si necesitas un descanso de tus seres queridos. Date el espacio que necesitas para recargar energías.,"Tómate 15 minutos para trabajar en un aspecto de tu presupuesto que te cause estrés. 
Luego planifique algo agradable para hacer después.","Trate de poner una etiqueta específica a sus sentimientos (¿está triste, enojado, disgustado, nervioso, aterrorizado, etc.?); los sentimientos son más fáciles de manejar cuando podemos describirlos completamente.","Antes de volver a buscar la misma pregunta sobre su salud en línea, pregúntese si realmente está buscando nueva información o simplemente está volviendo a verificar algo. Reduzca el tiempo dedicado a volver a comprobar.",Trata de imaginarte a ti mismo como un extraño observando tu conversación. Pregúntate si pensarían en cómo te está yendo de la misma manera que a ti. ,"A veces es útil tomar unos minutos para refrescarse si estás molesto con tu pareja. Trate de tomar un descanso de discutir durante 5 minutos, y luego volver juntos para tratar de hablar sobre el tema de nuevo. ","Dedica algo de tiempo a identificar tus objetivos y valores. Pregúntese: ¿qué es importante para mí en términos de mi trabajo, relaciones, educación, participación comunitaria, etc.? Anota diferentes formas en las que puedes actuar de acuerdo con estos valores en tu vida diaria."
3,"Cuando te sientas estancado, elige un pequeño paso que creas que puedes dar y comienza con eso.","Es útil recordar que cada uno tiene una perspectiva diferente. Si tiene dificultades para comprender por qué un ser querido actúa de cierta manera, intente considerar la situación desde su perspectiva.","Identifique aspectos específicos de sus finanzas que le estén causando estrés y proponga objetivos para gestionar mejor esos factores estresantes (por ejemplo, si su presupuesto le está causando estrés, busque en Google herramientas de elaboración de presupuestos que puedan facilitar ese proceso).","Intenta identificar los TEB en tu situación: ¿qué PENSAMIENTOS tienes? ¿Qué EMOCIONES estás sintiendo? ¿Qué COMPORTAMIENTOS estás realizando? Después de eso, piensa si puedes cambiar tus pensamientos o tu comportamiento para sentirte mejor.","Cuando experimente una sensación corporal incómoda (por ejemplo, corazón acelerado o palmas sudorosas), simplemente siéntese con esa sensación por un momento antes de reaccionar. Estas sensaciones suelen pasar rápidamente sin ninguna intervención.","Antes de pasar el rato con alguien, plantifiques algunos temas de conversación para mencionar durante tu conversación.","Usa frases en primera persona (Yo siento ___ porque ___) cuando comuniques tus emociones a tu pareja. Y, trate de no usar declaraciones ""tú"" (Estás siendo). ",
4,"Si una tarea en particular te parece desalentadora, elige un momento determinado del día en el que te sientas más motivado para intentar completarla.","A menudo, establecer límites mejora las relaciones.",Haga una lista de actividades que disfrute y que no cuesten dinero.,"Todas las emociones tienen un propósito. Nos cuentan lo que sucede en nuestras vidas y nos ayudan a motivarnos. Incluso los sentimientos negativos, como el miedo y la ansiedad, nos ayudan a navegar por el mundo que nos rodea.","Establezca una hora/fecha en la que tomará una decisión sobre si necesita consultar a un médico (por ejemplo, si todavía me siento mal dentro de 3 días, programaré una cita)","Cuando estés enojado o molesto por cualquier situación, dejas que esa emoción vaya y venga. En lugar de tratar de alejarlo, permítete reconocer y sentir profundamente tus emociones de manera segura. ","Si tienes un desacuerdo con tu pareja, considera reconocer tus diferencias y cómo pueden afectar la forma en que reaccionas ante las situaciones. ",
5,"Date algo que esperar después de terminar de estudiar o trabajar, como ver una película o cenar con amigos.","Cuando enfrente una situación difícil, trate de encontrar una manera de manejarla que le parezca adecuada, independientemente de cómo resulten las cosas.",Escriba dónde entra y sale su dinero y vea dónde se pueden hacer ajustes para que sus finanzas parezcan más manejables.,"Pruebe el método STOPP: S-Stop y pausa por un momento. T- Toma un respiro. O- Observa lo que estás sintiendo. P- Retroceder y poner la situación en perspectiva. P- Practica lo que funciona, haz algo que disfrutes/algo que te calme.","
Dormir lo suficiente puede marcar una gran diferencia en cómo te sientes tanto física como mentalmente. Verifique su horario de sueño y vea si hay formas de aumentar el sueño. ",Pregúntale a un amigo o familiar si puedes confiarle sobre una interacción incómoda. Vea si pueden proporcionar información desde el punto de vista de un extraño. ,"Leer la mente puede ser tentador cuando no te estás de acuerdo con una pareja. En lugar de asumir que sabes lo que tu pareja está pensando, trata de hacer preguntas sobre su perspectiva. ",
6,Prueba el método Pomodoro: tómate un descanso de 5 minutos cada 30 minutos de trabajo para que tu mente rejuvenezca.,"
Utilice declaraciones en primera persona (siento ___ porque ___) cuando comunique sus emociones a un ser querido.","Cuando sienta la necesidad de comprar algo que no puede pagar, preste atención a cómo se siente la necesidad y practique tolerar las sensaciones hasta que pasen.","Todos los sentimientos pasan. Cuando sienta que un sentimiento negativo (como la tristeza o el miedo) nunca terminará, recuérdese suavemente que este sentimiento eventualmente pasará.","Si siente malestar físico, intente notar y nombrar lo que está sintiendo. Recuerde que el malestar suele pasar o disminuir con el tiempo.","Planea salir de tu zona de confort, aunque sea de una manera pequeña. A veces es útil pedirle a otra persona, como un amigo o un ser querido, que lo qyude a rendir cuentas. ","Si te sientes enojado durante una conversación con tu pareja, trata de expresar tus pensamientos y sentimientos con calma en lugar de gritar o hacer acusaciones. ",
7,"Antes de comenzar a estudiar/trabajar, tómate un momento para anotar cómo te sientes y qué objetivos puedes alcanzar en función de cómo te sientes.",Piensa en algo acerca de un ser querido por el que estés agradecido y en cómo eso te ha afectado positivamente.,"Si hay alguien (amigo, familiar, colega, asesor/jefe, etc.) con quien se siente cómodo confiándole su situación financiera actual, pregúntele si puede hablar con él sobre cómo se siente y si puede ofrecerle algún consejo.",Observe los pensamientos que tiene cuando siente una emoción negativa y determine si esos pensamientos reflejan con precisión la realidad de la situación.,Recuerde que investigar sus síntomas de salud en Internet a menudo puede provocar una espiral de ansiedad. Intente preguntarle a un amigo cercano si puede confiarle cómo se siente.,"En lugar de centrarte solo en los momentos negativos que has pasado con tus amigos, piensa también en los positivos. Recuérdate a ti mismo todas las veces en las que han sonreído y reído juntos. ","Si te has sentido molesto en tu relación, trata de expresar claramente lo que necesitas o cómo te sientes a tu pareja, mientras estás abierto a su perspectiva. ",
8,"Si se siente estancado o abrumado, pregúntele a alguien cercano a usted si puede hablar con él sobre cómo se siente y ver si puede ofrecerle algún consejo.","Si no se siente apoyado por su familia en casa, vea si puede comunicarse con algún amigo que pueda brindarle el apoyo que cree que necesita.","Cada semana, disfrute de una actividad divertida que no requiera dinero, como salir a caminar.","La tristeza es una respuesta natural cuando no podemos controlar una situación o hemos experimentado una pérdida. Si se siente triste, intente descubrir qué está causando ese sentimiento.",Piense en momentos de su pasado en los que estuvo preocupado por un aspecto de su salud física que terminó siendo perfectamente normal.,"Cuando tengas ganas de compararte con otras personas en tu vida, trata de hacerte un cumplido. ",Comunícale a tu pareja cómo te sientes y lo que crees que podrías necesitar de ella para sentirte mejor. ,
9,"Cuando te sientas abrumado por una determinada tarea, recuerda todo lo que ya has hecho y siéntete orgulloso de lo que has logrado, aunque haya sido un pequeño paso.","

Encuentre una actividad que pueda ayudarlo a sentirse conectado con alguien que le importa y que se preocupa por usted.","Cuando se sienta abrumado, pregúntele a alguien de su sistema de apoyo si puede ayudarlo a pensar en formas de administrar sus finanzas.","
Acepta las emociones que tienes en lugar de juzgarte por tenerlas.","Si nota que no se siente bien, recuerde que hay una variedad de razones de bajo riesgo por las cuales podría sentirse así (por ejemplo, puede estar cansado, puede haber comido algo malo, etc.).",Piensa en algo positivo que haya sucedido cuando interactuaste con alguien hoy y saborea cómo te sentiste durante esa experiencia. ,"Si tu pareja romántica está molesta, trata de preguntarle qué podría necesitar de ti en ese momento.",
10,"Si algunos aspectos de su carrera le resultan abrumadores, recuerde que no es necesario que lo tenga todo resuelto ahora mismo. Sólo puedes controlar lo que estás haciendo en el momento presente.","Si siente nostalgia, programe llamadas con sus seres queridos para mantenerse en contacto.","Las personas provienen de diferentes orígenes socioeconómicos. Si se siente presionado a gastar tanto dinero como sus amigos, recuerde que no es necesario.","Cuando esté estresado o molesto, trate de concentrarse en sus cinco sentidos: observe 5 cosas que puede ver, 4 cosas que puede sentir, 3 cosas que puede oír, 2 cosas que puede oler y 1 cosa que puede saborear.",Es posible que en este momento sientas algo de dolor en tu cuerpo. Recuerde que el dolor fluye y refluye y que probablemente no será tan intenso para siempre.,"Si notas que repites una interacción desde temprando en el día una y otra vez, puede ser útil distraerte con una actividad agradable o relajante, como ver la televisión o jugar con una mascota. ",Trata de imaginar algo desde el punto de vista de tu pareja. ,
