Domain,Subdomain,Resource Name,Resource Link/Contact,Text in App
Académicos/Trabajo/Desarrollo Profesional,Desarrollo profesional,Career One Stop,https://bit.ly/cose_es,"Career One Stop es una fuente de la exploración de la carrera, capacitación y empleo. Ofrece recursos informativos sobre el empleo para personas con experiencias y edades diversas, y tiene directorios para buscar ayuda local y empleo. También tiene un portal de reempleo del trabajador incluye información estatal, capacitaciones, ayuda con la búsqueda de empleo, y más beneficios."
Académicos/Trabajo/Desarrollo Profesional,Desempleo,CareerOneStop: Reempleo del trabajador,http://bit.ly/COS_espr,"El portal de reempleo del trabajador incluye información estatal, capacitaciones, ayuda con la búsqueda de empleo, y más beneficios."
Vida Familiar y Doméstica,Familias,Centro de información y recursos para familias,http://bit.ly/CPIR_espr,"Center for Parent Information & Resources ofrece una lista de recursos y guías informativas acerca de discapacidades, derechos educativos, y más."
Vida Familiar y Doméstica,Familias,Cómo afrontar el cuidado de un padre que se está haciendo mayor,https://bit.ly/acpm_es,"Esta página de MHA comparte información acerca la generación “sándwich” quienes a menudo son padres de familia cuidando de sus padres y sus hijos menores de edad. Contiene una lista de consejos de como dar prioridad a las tareas del hogar, como cuidar de sí mismo, y más."
Vida Familiar y Doméstica,Familias,Familias Cambian: Guía de Separación y Divorcio,http://bit.ly/FaC_espr,Actividades y guías para afrontar la separación y divorcio creadas para edades diversas.
Vida Familiar y Doméstica,Familias,Kid's Health,https://bit.ly/3zOgFg0,"Kid's Health es una organización sin fines de lucro que ofrece información revisada por doctores y con fuentes sustentadas. Hay secciones para padres, niños, y adolescentes."
Vida Familiar y Doméstica,Familias,Los niños y la salud mental,https://bit.ly/nsm_es,"Este sitio web creado por el Instituto Nacional de la Salud Mental (NIH, por sus siglas en inglés) ofrece mucha información acerca de la salud mental en la niñez. Indica señales cuando sería necesario buscar ayuda externa, medidas de apoyo que pueden tomar los cuidadores, como trabajar con las escuelas, y más."
Vida Familiar y Doméstica,Familias,Departamento de Educación,https://bit.ly/3zPK9Kq,Recursos en Español acerca de información escolar y derechos educativos.
Vida Familiar y Doméstica,Familias,Entendiendo Experiencias Infantiles Adversas (ACE),https://bit.ly/3zKLX7H,Esta guía explica lo que son las experiencias infantiles adversas y cómo estas influyen en el desarrollo. Ofrece breves consejos para cuidadores y guardianes.
Vida Familiar y Doméstica,Familias,Autoevaluación de cuidadores,https://bit.ly/3vO3Jnm,Esta actividad ayuda a cuidadores a auto-evaluarse para agotamiento y fatiga de compasión para que de esa forma puedan buscar apoyos adicionales
Vida Familiar y Doméstica,Familias,Centro de información y recursos para familias,http://bit.ly/CPIR_espr,"Centro de información y recursos para familias ofrece una lista de recursos y guías informativas acerca de discapacidades, derechos educativos, y más"
Vida Familiar y Doméstica,Familias,Child Mind Institute,http://bit.ly/CMI_espr,"Recursos en español para los adultos y guardianes. Información proveída sobre temas en salud mental, desafíos del aprendizaje y tipos de tratamientos para apoyar a sus hijos."
Vida Familiar y Doméstica,Seguridad,Ayuda con Pagos de Facturas,https://bit.ly/3cX7CiX,"Proporciona información acerca de programas gubernamentales que ayudan con pago de facturas y asistencia temporal.
"
Vida Familiar y Doméstica,Seguridad,"Asociación Nacional de Clínicas Gratuitas y Benéficas (NAFCC, por sus siglas en inglés)",https://bit.ly/nafcc_enr,"La Asociación Nacional de Clínicas Gratuitas y Benéficas es un directorio de clínicas que ofrecen servicios de salud gratuitos o de bajo costo para trabajadores pobres, sin seguro y/o con seguro insuficiente en los Estados Unidos. La organización también realiza actividades a nivel nacional con el fin de ampliar el acceso a la atención médica. Es posible cambiar el idioma usando la barra en la parte superior de la página a la derecha."
Vida Familiar y Doméstica,Seguridad,Feeding America,http://bit.ly/FeeA_espr,Feeding America ofrece esta página informativa para que las personas puedan acceder a los recursos alimenticios.
Vida Familiar y Doméstica,Seguridad,Hunger Free America,https://bit.ly/3xJzDmd,Hunger Free America es una organización nacional cuál se enfoca en programas necesarios para acabar con el hambre en EE. UU. Puede buscar banco de comida en línea o por teléfono a 1-877-8-HAMBRE.
Vida Familiar y Doméstica,Seguridad,HealthWell Foundation,https://bit.ly/HWF_espr,"HealthWell Foundation es una organización sin fines de lucro que ayuda a mejorar el acceso a la atención médica para personas con seguro médico inadecuado o que no cubre todos los costos. La organización tiene varios fondos para enfermedades, incluyendo ciertos cánceres, COVID-19, hepatitis, y más. HealthWell ayuda con diferencias en copagos, gastos médicos directos, primas de seguro, y deducibles. Puede solicitar ayuda aplicando en línea o llamando a (800) 675-8416."
Vida Familiar y Doméstica,Seguridad,InsureKidsNow,https://bit.ly/3gRELzj,Insure Kids Now ayuda a familias a buscar cobertura médica u odontológica a través de Medicaid y del Programa de Seguro Médico para Niños. Ofrece recursos y apoyo para buscar servicios gratuitos o de bajo costo.
Vida Familiar y Doméstica,Otro,Dougy Center,https://bit.ly/dc_esp,"Brinda información sobre el duelo y formas de encontrar grupos de apoyo locales, especialmente para niños, adolescentes y sus familias. La página ofrecida por el enlace tiene recursos en español, pero el idioma de todo el sitio también puede ser cambiado al español usando la barra en la parte superior de la página."
Vida Familiar y Doméstica,Otro,Guías de autoayuda: ¿Cómo afrontar el duelo?,https://bit.ly/ad_espr,"El duelo puede ser una experiencia difícil y estresante. Esta guía da información sobre el duelo y cómo apoyar a seres queridos, o incluso a uno mismo, a sobrellevarlo."
Finanzas,Apoyo y Consejo Financiero,211 (EEUU) en español,https://bit.ly/211_esprm ,211 conecta a personas en EEUU con recursos económicos locales.
Finanzas,Apoyo y Consejo Financiero,Money Smart de la FDIC,https://bit.ly/ams_es,El programa “Money Smart” de la FDIC ayuda a las personas a aprender más habilidades financieras y a crear relaciones bancarias positivas. También incluye información para apoyar a los padres/cuidadores de niños de todas las edades.
Finanzas,Apoyo y Consejo Financiero,Deudores Anónimos,http://bit.ly/DeAn_espr,Ofrece programa de 12 pasos para personas que quieren dejar de incurrir en deudas.
Finanzas,Apoyo y Consejo Financiero,Mi Dinero: Herramientas,https://bit.ly/mdh_espr ,"Mi Dinero: Herramientas es una página que ofrece información y plantillas para ayudar con la educación y la planificación financiera. Cada sección tiene herramientas para temas como la elaboración de presupuestos, manejo de deudas, y más."
Finanzas,Apoyo y Consejo Financiero,Cómo dar prioridad a las deudas: ¿Cuáles pago primero?,https://bit.ly/3gQ8VCR,Este sitio explica las prioridades que uno mismo puede tener al decidir salir de deudas. Ofrece consejos e ideas para recursos
Salud Mental,Conciencia y Meditación,Calma (Calm),http://bit.ly/calm_espr,"La aplicación Calm proporcionó esta página que ofrece estrategias de afrontamiento, momentos meditativos, y más para lidiar con el estrés solo y acompañado."
Salud Mental,Conciencia y Meditación,54321 Ejercicio Calmante,https://bit.ly/tec_espr,El ejercicio calmante 54321 te guía a través de cinco pasos para encontrar la calma.
Salud Mental,Mindfulness and Meditation,Yana app,https://bit.ly/yai_es (IOS) O https://bit.ly/yanaa_es (Android),"Yana ofrece herramientas para mejorar la salud mental, incluyendo afirmaciones personales, técnicas de relajación, diario para registrar las emociones, y un chat para trabajar en metas o combatir pensamientos intrusivos."
