Rank,Académicos/Trabajo/Desarrollo Profesional,,Vida Familiar y Doméstica,,Finanzas,,Salud Mental,,Salud Física,,Situaciones Sociales,,Relaciones Románticas,,Discriminación/Microagresiones,
,Resource,Text in App,Resource,Text in App,Resource,Text in App,Resource,Text in App,Resource,Text in App,Resource,Text in App,Resource,Text in App,Resource,Text in App
1,Career One Stop,"Career One Stop es una fuente de la exploración de la carrera, capacitación y empleo. Ofrece recursos informativos sobre el empleo para personas con experiencias y edades diversas, y tiene directorios para buscar ayuda local y empleo. También tiene un portal de reempleo del trabajador incluye información estatal, capacitaciones, ayuda con la búsqueda de empleo, y más beneficios.",Centro de información y recursos para familias,"Center for Parent Information & Resources ofrece una lista de recursos y guías informativas acerca de discapacidades, derechos educativos, y más.",211 (EEUU) en español,211 conecta a personas en EEUU con recursos económicos locales.,Calma (Calm),"La aplicación Calm proporcionó esta página que ofrece estrategias de afrontamiento, momentos meditativos, y más para lidiar con el estrés solo y acompañado.",BecomeAnEX (ES),"BecomeAnEX te brinda orientación y apoyo comunitario para dejar la nicotina, incluyendo el fumar, vapear, o masticar tabaco.",Acceso Latino,"Acceso Latino, parte de la Fundación Carlos Slim, comparte ofrece páginas para orientación legal, información acerca de apoyos sociales, trámites legales, y más asesorías para inmigrantes en Estados Unidos. También contiene enlaces directos a los consulados de países latinoamericanos.",Encuentro Latino: National Institute on Family Violence,Encuentro Latino proporciona información acerca de derechos de sobrevivientes de abuso y violencia y también ofrece folletos y presentaciones acerca de los efectos de la violencia reconociendo las barreras y diferencias culturales.,Mijente,"Mijente ayuda a personas a fomentar cambios positivos a través de campañas, conectando a personas en su red, aprendizaje, y apoyo y defensa. Temas de interés son el género, raza/etnia, economía, y cambios ambientales."
2,CareerOneStop: Reempleo del trabajador,"El portal de reempleo del trabajador incluye información estatal, capacitaciones, ayuda con la búsqueda de empleo, y más beneficios.",Cómo afrontar el cuidado de un padre que se está haciendo mayor,"Esta página de MHA comparte información acerca la generación “sándwich” quienes a menudo son padres de familia cuidando de sus padres y sus hijos menores de edad. Contiene una lista de consejos de como dar prioridad a las tareas del hogar, como cuidar de sí mismo, y más.",Money Smart de la FDIC,El programa “Money Smart” de la FDIC ayuda a las personas a aprender más habilidades financieras y a crear relaciones bancarias positivas. También incluye información para apoyar a los padres/cuidadores de niños de todas las edades.,54321 Ejercicio Calmante,El ejercicio calmante 54321 te guía a través de cinco pasos para encontrar la calma.,SmokeFree - ES,"SmokeFree ofrece consejos y apoyo para dejar de fumar. Brinda formas alternativas de lidiar con el estrés, lidiar con los factores desencadenantes del tabaquismo y puede ayudar a los Texters a contar cuánto tiempo han estado sin fumar",Amaze,"Brinda información y videos divertidos y animados que responden a preguntas sobre el sexo, el cuerpo y las relaciones sanas. Útil para personas de todas las edades, incluyendo niños, adolescentes, y adultos. También puede ser utilizado por educadores, padres/cuidadores y personas LGBTQ+.",Love is Respect (El Amor es Respeto),Love is Respect incluye mucha información apropiada para edades diversas acerca del consentimiento y relaciones sanas. También ofrece una línea de ayuda.,Maneras de ayudar con la justicia racial,Enumera formas viables de ayudar con la justicia racial.
3,,,Familias Cambian: Guía de Separación y Divorcio,Actividades y guías para afrontar la separación y divorcio creadas para edades diversas.,Deudores Anónimos,Ofrece programa de 12 pasos para personas que quieren dejar de incurrir en deudas.,Yana app,"Yana ofrece herramientas para mejorar la salud mental, incluyendo afirmaciones personales, técnicas de relajación, diario para registrar las emociones, y un chat para trabajar en metas o combatir pensamientos intrusivos.",Alcohólicos Anónimos,"Proporciona apoyo para personas que luchan contra el alcoholismo usando un programa de 12 pasos, incluyendo asistencia regular a reuniones en grupo.",Mijente,"Mijente ayuda a personas a fomentar cambios positivos a través de campañas, conectando a personas en su red, aprendizaje, y apoyo y defensa. Temas de interés son el género, raza/etnia, economía, y cambios ambientales.",Inicios suaves: habilidad de comunicación,Esta hoja informativa ofrece consejos y ejemplos para mejorar la comunicación efectiva entre pareja.,Cómo hablar con los niños sobre los prejuicios raciales,Información con fuentes sustentadas de cómo niños aprenden prejuicios y como adultos en su vida pueden enfrentar sus propios prejuicios y cómo conversar efectivamente con niños de edades diversas.
4,,,Kid's Health,"Kid's Health es una organización sin fines de lucro que ofrece información revisada por doctores y con fuentes sustentadas. Hay secciones para padres, niños, y adolescentes.",Mi Dinero: Herramientas,"Mi Dinero: Herramientas es una página que ofrece información y plantillas para ayudar con la educación y la planificación financiera. Cada sección tiene herramientas para temas como la elaboración de presupuestos, manejo de deudas, y más.",Creando rutinas saludables,"Esta página de Mental Health America ofrece datos sobre la salud física, mental y la importancia de las rutinas. Contiene consejos y una guía con preguntas que ayudan a las personas a darle prioridad a lo más importante de sus vidas para poder crear rutinas saludables.",Habilidades para afrontar las adicciones,"Este PDF comparte varias estrategias de afrontamiento que se pueden usar como parte de la recuperación de diversas adicciones, incluida la búsqueda y el desarrollo de apoyos sociales, el manejo de las emociones y el uso de distracciones.",Personas de la tercera edad,Este sitio Web ilumina situaciones diversas en cuáles las personas de tercera edad podrían necesitar ayuda. Ofrece recursos y guías informativas.,Consentimiento 101,"Consentimiento 101 describe lo que es el consentimiento entusiasta y lo que no constituye consentimiento, como la vestimenta o el coqueteo",Cómo hablar con los niños sobre el racismo en Estados Unidos,"“Cómo hablar con los niños sobre el racismo en Estados Unidos” comparte consejos para hablar con los niños sobre el racismo y la discriminación. El PDF está estructurado por edades, indicando preguntas y pautas que pueden seguir los adultos para guiar las conversaciones."
5,,,Los niños y la salud mental,"Este sitio web creado por el Instituto Nacional de la Salud Mental (NIH, por sus siglas en inglés) ofrece mucha información acerca de la salud mental en la niñez. Indica señales cuando sería necesario buscar ayuda externa, medidas de apoyo que pueden tomar los cuidadores, como trabajar con las escuelas, y más.",Cómo dar prioridad a las deudas: ¿Cuáles pago primero?,Este sitio explica las prioridades que uno mismo puede tener al decidir salir de deudas. Ofrece consejos e ideas para recursos,La Respiración Profunda,Explica la respiración profunda paso a paso para lidiar con estrés y pánico.,Partnership to End Addiction,Proporciona información y apoyo para familias lidiando con problemas de jóvenes con abuso de sustancias.,Alianza Americas: Caja de herramientas,"La misión de Alianza Americas, una organización transnacional, es crear una vida “más inclusiva, equitativa, y sostenible” para inmigrantes latinoamericanos en los Estados Unidos. Su Caja de herramientas contiene toolkits (guías) informativas y enlaces a recursos para temas de interés a personas latinoamericanas.",Cómo manejar la soledad después de un divorcio o una separación,Esta página brinda información para personas que buscan sobrellevar la soledad después de un divorcio o separación. Contiene preguntas frecuentes y consejos para mejorar la salud mental mientras la persona se adapta a su nueva circunstancia.,Citizenshipworks,Citizenshipworks hace que la solicitud de ciudadanía sea equitativa y accesible para todos. Ofrece asesoramiento legal gratuito.
6,,,Departamento de Educación,Recursos en Español acerca de información escolar y derechos educativos.,,,Técnicas de relajación,MedlinePlus.Gov ofrece información de todo tipo. Esta página ofrece ideas para técnicas de relajación para lidiar con el estrés.,Substance Abuse and Mental Health Services Administration (SAMHSA) - Lista de Recursos bilingües en español,"SAMHSA tiene sitio Web, pero no todo está traducido. La organización ofrece esta página de recursos que tienen servicios bilingües o tienen traducción. ",La Unión Americana de Libertades Civiles (American Civil Liberties Union),"Proporciona información y recursos acerca de los derechos de las personas estadunidenses en una variedad de situaciones: libertad religiosa, libertad de expresión, derechos de inmigrantes, derechos de las personas LGBT y más.",,,Immigrant Justice,Guía diseñada para jóvenes que explica los derechos del inmigrante en la manera más apropiada para esas edades.
7,,,Entendiendo Experiencias Infantiles Adversas (ACE),Esta guía explica lo que son las experiencias infantiles adversas y cómo estas influyen en el desarrollo. Ofrece breves consejos para cuidadores y guardianes.,,,Salud mental/corporal: Cómo manejar el estrés de la temporada festiva,Esta página de APA incluye habilidades de afrontamiento y consejos para manejar el estrés de las temporadas festivas.,"División de Nutrición, Actividad Física y Obesidad (DNPAO) de los CDC","Ofrece información sobre actividad física, peso saludable, lactancia materna y nutrición para bebés y niños pequeños.",Sobre Conversaciones Interseccionales - The Trevor Project,Este PDF hecho por Trevor Project informa sobre la importancia de conversaciones interseccionales y cómo la identidad queer/cuir se conecta a la identidad de raza y etnia.,,,"Immigration & American Citizenship Organization Inc., IACO, por sus siglas en inglés","IACO es una organización sin fines de lucro reconocida por el Departamento de Justicia de los Estados Unidos. Miembros de la organización están autorizados para representar a personas de bajos ingresos en sus trámites de inmigración, proveer asesoría legal a sus clientes, y también representación en trámites como declaraciones de impuestos."
8,,,Autoevaluación de cuidadores,Esta actividad ayuda a cuidadores a auto-evaluarse para agotamiento y fatiga de compasión para que de esa forma puedan buscar apoyos adicionales,,,7 técnicas de relajación para un alivio eficaz del estrés y la ansiedad,Esta guía ofrece una lista de 7 técnicas de relajación con explicaciones claras para poder sobrellevar el estrés y la ansiedad.,Tratamiento para un trastorno de la alimentación: infórmate sobre tus opciones,Esta página comparte información acerca de trastornos alimenticios y los tipos de tratamientos disponibles. Ofrece pasos a seguir para comenzar a buscar apoyo y crear un plan de recuperación.,,,,,Immigration Advocates Network,Immigration Advocates Network ofrece un directorio para servicios legales. Seleccionando el idioma español y eligiendo el código postal o centro de detención permite a las personas encontrar organizaciones sin fines de lucro que proporcionan servicios legales gratuitos o bajo costo.
9,,,Centro de información y recursos para familias,"Centro de información y recursos para familias ofrece una lista de recursos y guías informativas acerca de discapacidades, derechos educativos, y más",,,Anxiety and Depression Association of America,"ADAA es una organización dedicada a la prevención, tratamiento y cura de la ansiedad, depresión, el trastorno obsesivo-compulsivo y trastornos similares a través de la educación, grupo de apoyo, y gráficos informativos.",Los trastornos de la alimentación: Un problema que va más allá de la comida,Esta guía explica lo difícil que es batallar con un trastorno alimenticio y explica qué tipo de trastornos existen y cómo buscar ayuda.,,,,,IRAP - International Refugee Assistance Project: Ayuda Legal,RAP brinda ayuda legal gratuita a algunos refugiados y personas desplazadas y su sitio Web proporciona información sobre los servicios para preparar solicitudes de visa y refugio. IRAP también proporciona información sobre programas de admisión de refugiados y reunificación familiar.
