Rank ,Prompt ,Response Option ,Difficulty (1-5),Input
1,Piensas en un momento en que un amigo se enfrentó a una situación incierta y se sentía ansioso por ello. ¿Qué consejo le darías a tu amigo para que piense en la situación en función de lo que has aprendido en el entrenamiento?,"Respuesta abierta de que tienen la opción de ""marcar como favorito"" y guardar en su biblioteca como un recurso. ",2,Entrada
2,Piensas en algo que te causó ansiedad la primera vez que lo hiciste. ¿Qué estrategias te ayudaron a superar eso?,"Respuesta abierta de que tienen la opción de ""marcar como favorito"" y guardar en su biblioteca como un recurso. ",2,Entrada
3,"Reflexionas sobre las historias que acabas de leer y cómo se resolvieron las situaciones que provocan ansiedad. ¿Qué ves como algunos de las principales conclusiones? ¿Cual de estas nuevas formas de pensar podrías verte a ti mismo aplicando a tu propia vida, y por qué?","Respuesta abierta de que tienen la opción de ""marcar como favorito"" y guardar en su biblioteca como un recurso.  ",2,Entrada
4,"¿Hay alguna situación que antes te daba miedo o te provocaba ansiedad, pero en la que ahora te sientes cómodo? ¿Qué te decías a ti mismo en esa situación? ¿Qué piensas ahora?","Respuesta abierta de que tienen la opción de ""marcar como favorito"" y guardar en su biblioteca como un recurso. ",2,Entrada
5,"Cuando te encuentras saltando al peor de los casos sin toda la información, ¿cualés son algunas cosas que podrías decirte a ti mismo? Piensas en algunas habilidades de las historias que has leído que podrían ser útiles para ti. ","Respuesta abierta de que tienen la opción de ""marcar como favorito"" y guardar en su biblioteca como un recurso.  ",3,Entrada
6,"Piensas en las lecciones que aprendiste de las historias que lees hoy. Mirando hacia atrás a una situación reciente que te hizo ansioso, ¿cómo podrías haberlo pensado de una manera diferente para que fuera más fácil de manejar?","Respuesta abierta de que tienen la opción de ""marcar como favorito"" y guardar en su biblioteca como un recurso.  ",3,Entrada
7,Imaginas que estás impartiendo un taller sobre cómo pensar de manera flexible sobre situaciones ambiguas y potencialmente amenzantes. ¿Cuál sería tu mensaje para los participantes?,"Respuesta abierta de que tienen la opción de ""marcar como favorito"" y guardar en su biblioteca como un recurso.  ",3,Entrada
8,Piensas en una situación desafiante que se avecina pronto. ¿Cuáles son algunas de las maneras en que podrías aplicar lo que aprendiste en esta capacitación para manejar tu propia situación? ,"Respuesta abierta de que tienen la opción de ""marcar como favorito"" y guardar en su biblioteca como un recurso.",4,Entrada
9,"Para una situación reciente que te hizo ansioso, pregúntate: ¿Cómo podría haberlo pensado en otro momento, en otro estado de ánimo? ¿La forma en que pensaste al respecto se alineó con lo que realmente sucedió? ¿Hay alternativas? ","Respuesta abierta de que tienen la opción de ""marcar como favorito"" y guardar en su biblioteca como un recurso. ",4,Entrada
10,Piensas en una situación próxima que quieras evitar porque te pone ansioso. ¿Cómo puedes pensarlo de manera diferente para que se sienta menos aterrador? ,"Respuesta abierta de que tienen la opción de ""marcar como favorito"" y guardar en su biblioteca como un recurso.  ",4,Entrada
11,"Piensas en una situación en la que te encantaría estar, pero tienes demasiado miedo o ansiedad para ponerte en ella, aunque pueda llevar al crecimiento personal. ¿Qué estrategias podrías poner en práctica para ayudarte a llegar allí?","Respuesta abierta de que tienen la opción de ""marcar como favorito"" y guardar en su biblioteca como un recurso. ",4,Entrada
12,Think about a scenario in your daily or weekly routine that makes you anxious. What strategies can you apply from this training to help calm your anxiety? Piensas en un escenario de tu rutina diaria o semanal que te ponga ansioso. ¿Qué estrategias puedes aplicar a partir de esta formación para ayudar a calmar tu ansiedad? ,"Respuesta abierta de que tienen la opción de ""marcar como favorito"" y guardar en su biblioteca como un recurso.  ",5,Entrada
13,Piensas en una situación que enfrentas regularmente que te cause algo de ansiedad. ¿Qué te sueles decir a ti mismo? ¿Hay otro pensamiento que puedas decirte a ti mismo que pueda hacer que sea menos provacador de ansiedad? ,"Respuesta abierta de que tienen la opción de ""marcar como favorito"" y guardar en su biblioteca como un recurso.  ",5,Entrada
