 ,SESSION 1 TRAINING,,,,,,,,,,,
,,,,,,,,,,,,
,FIRST HALF OF THE WEEK - BRIEF SCENARIO TRAINING ,,,,,,,,,,,
,,,,,,,,,,,,
,TOPIC CONGRUENT - 10 SCENARIOS FOR EACH DOMAIN,,,,,,,,,,,
,,,,,,,,,,,,
,"Note: 1 scenario has to have a negative ending, 2 scenarios have to have a resilience ending ",,,,,,,,,,,
,,,,,,,,,,,,
,ACADEMICS,,,,,,,,,,,
Scenario name,Scenario,Second part (resilience),Image ,Variable name,Ending word(s),Comprehension Question,Y/N,"Type of ending (positive, negative, or resilence) ",,,,
Important call,"Today, you will receive an important call. You'll find out if you got the job you interviewed for. As you think about waiting for the call, your anxiety is ",,https://drive.google.com/file/d/1fZ5gwS6hpP38y6RtFHzIC7gnpeeFtrLF/view?usp=sharing,aca_009,tolerable,Are you able to tolerate feeling anxious while waiting for the call?,Y,positive,,2,,
Election debate,"You decide to run for class president and you have to debate your fellow candidates in front of the school. The other candidates are on the debate team, and this is your first debate. When you think about arguing your position in front of your classmates, you feel",,https://drive.google.com/file/d/1Gf9_VnvtNkCVWOZu8VQ1INYnQFjRuB7m/view?usp=sharing,aca_028,confident,Are you worried about the debate?,N,positive ,,2,,
Breaking a rule,"You got caught breaking a rule at school. You didn't mean to, and know that the principal will need to call your parent. You walk into their office and feel ","You sit down and tell the principal what happened. As they dial the phone, you know that your parent will be",https://drive.google.com/file/d/1Idtt1D4a_Q0u2ifivT-y1LFMmCtaPq6K/view?usp=sharing,aca_067,overwhelmed; calm,Are your parents going to get mad?,N,resilience,,2,,
Graduation plans ,"You've decided to get a job right after high school. All of your close friends are applying to college. When you think about your decision not to go to college right away, you feel",,https://drive.google.com/file/d/1JKUinIevBXYcP_VV15nIa4MzJxgnkiOX/view?usp=sharing,aca_034,satisfied,Are you happy with your decision to get a job right after high school?,Y,positive,,2,,
College email ,"Today your top college is emailing you about whether or not you were accepted. You have a few hours to wait until you'll get the email. When you think about waiting that long, you feel",,https://drive.google.com/file/d/1N6vR25DLC0FZk7m0Kj9cqT3vnyjdyQOA/view?usp=sharing,aca_060,miserable,Do you feel OK having to wait for the email?,N,negative,,2,,
The first day,It's your first day at a new school and it's lunch time. A group of students goes quiet after you ask them if you can sit at their table. They are probably,,https://drive.google.com/file/d/1P6VNUyA8H8368-hLamInhJfN9D7hoTws/view?usp=sharing,aca_027,nice,Were the quiet students nice?,Y,positive,,2,,
Parent-teacher conferences,"Tonight is the night of parent-teacher conferences. You're not doing well in math, and you know your teacher will tell your guardian about your recent grades. When you think about what your guardian will say to you afterwards, you feel",,https://drive.google.com/file/d/1R2qiJM_IDzSxINZRkJ1oU9N7X9ZhWZBn/view?usp=sharing,aca_031,alright,Can you handle your guardian's reaction to your math grades?,Y,positive,,2,,
Report card ,"Your report card has been handed out and you notice a few grades are lower than you normally get. Your parents are expecting good grades and they know that you're bringing the report card home this afternoon. While you're waiting to show your parents, you feel ",,https://drive.google.com/file/d/1ruzqRzoiX02FLhAnwN6oJ70yaCOV9usy/view?usp=sharing,aca_043,ready,Are you spending the afternoon worrying about showing your parents your grades? ,N,positive,,2,,
Spelling test grade,"You check online to see your latest spelling test grade. You see that your grade is a lot lower than you expected. You think about what this will mean for your overall grade, and know everything will be",,https://drive.google.com/file/d/1XSzs9MSKzUi9VEjvSXdG4wuW6OFlE60F/view?usp=sharing,aca_046,fine,Will there be terrible consequences for getting a low grade on your spelling test?,N,positive,,2,,
Family expectations,Your family expects you to go to college after high school. You haven't told them yet that you want to go to technical school. You think about telling them and feel,"You decide to tell them anyway. When you tell them your plans, you feel",https://drive.google.com/file/d/1Z0nzrIQHVjl7UmtuA4nngOFyGYVvmBB-/view?usp=sharing,aca_037_r,anxious; relieved,Do you feel better after talking to your parents about your plans after graduation? ,N,resilience,,2,,
,Great job with those scenarios in your domain! Now you'll get to practice a few more scenarios that are from other domains. This will help you apply your flexible thinking skills to lots of different types of situations!,,,,,,,,,,,
Embarrassing stories,"You invited your caregiver to a school event tonight. You know that they can sometimes tell embarrassing stories about you to other people. You think about what they're going to do tonight, and feel",,https://drive.google.com/file/d/1oGNnBFehUdYBlSikTmSsRaaBV3kbk94x/view?usp=sharing,hom_027,calm,Are you worried about what your caregiver will say tonight? ,N,Positive ,4,,,
Crush on the swim team,You are on the local swim team. Your crush just joined and now they'll be able to see you in a swimsuit. You think about this and feel ,You remember that they will be focused on swimming and everyone else will be wearing swimsuits too. This makes you feel ,https://drive.google.com/file/d/14PpW4hP6WC0D2w8vTG9u7dihy5qj4aKs/view?usp=sharing,soc_026,insecure; comforted,Do you feel okay wearing your swimsuit in front of them?,Y,resilience,4,,Social,
Dentist appointment,"You have a routine dentist appointment and find out that you need some tests to check the health of your gums and teeth. After the dentist performs the tests, you continue to lie in the dentist chair while waiting for the results. You think the news from your dentist will be that your gums are",,https://drive.google.com/file/d/1PUQshZgNL6tX5cS4aP636BXA9VNXNVpq/view?usp=sharing,phys_011,healthy,Do you think you have gum disease?,N,positive ,4,,,
Running out of time,"You are taking a test in your environmental science class. You only have ten minutes left and you still have three long problems to get through. When you think about your ability to complete the test, you feel",,https://drive.google.com/file/d/10SQmYfVuHzcGYJjADi5bmTtG4gXr2V9x/view?usp=sharing,aca_076,doubtful,Will you be able to finish your test in time?,N,negative,,,,4
First time ice skating,"Your friend enjoys ice skating and convinces you to try it out. At the rink you put on the skates and step on the ice. You glide forward slowly at first, then faster, and think your chances of getting injured are",,https://drive.google.com/file/d/1aAVB9kwWR539576_DqNHC99nsv-5mvLt/view?usp=sharing,gen_008,minimal,Are you excited to try ice skating?,Y,positive,1,4,,
,,,,,,,,,,,,
,SOCIAL SITUATIONS,,,,,,,,,,,
Scenario name,Scenario,Second part (resilience),Image,Variable name,Ending word(s),Comprehension Question,Y/N,"Type of ending (positive, negative, or resilence) ",,,,
Comparing homes,"You notice your smaller home is not as spacious as the homes of others that you know. Your best friend has never been to your place, but wants to come over and spend the night. You think about their reaction to your home and they will be ",,https://drive.google.com/file/d/16XNeU_t_2Vi7Do5oyA9sEbGSMGB6zZe8/view?usp=sharing,soc_028,respectful,Will your friends judge your home?,N,positive,2,5,,
Conflicting plans,"You get asked to a school dance by your crush and really want to go with them. You realize you can't go because you are babysitting that night. When you tell your crush, they will be",You know you made a babysitting commitment. You are happy that you are being ,https://drive.google.com/file/d/16Mn418BJmgaCo2BI0gZ-yjV4YknV-Me0/view?usp=sharing,soc_016,upset; responsible,Do you feel happy with your choice?,Y,resilience,2,,,
Friends at the grocery store,"You are working at the grocery store bagging groceries and notice two friends who you have not seen in a while. They are buying drinks and snacks, and they say hi as they're checking out. They probably think that you are",,https://drive.google.com/file/d/19C7toEPndzExnPZqhv9WwfUM2jnf7-8D/view?usp=sharing,soc_025,normal,Are your friends judging you for working? ,N,positive,2,5,,
Sharing opinions,"You are talking with a group of friends about TV shows. When you say what you like about an old TV show that you just discovered, no one responds. They probably think that you are",,https://drive.google.com/file/d/1opDxSogFwDYpEb5PGw4jTADE96Y2WtG7/view?usp=sharing,soc_004,weird,Do your friends judge you for what you said about the TV show? ,Y,negative,2,5,,
Friends making plans,You are hanging out with some friends. One of them invites another one to come over to their house on a different day without you. You think about it and realize you feel,,https://drive.google.com/file/d/1fiU4LXhMtwbHsk-TL8j4fPXdxTFpO-rz/view?usp=sharing,soc_020,alright,"Are you upset that you weren't invited, too?",N,positive,2,5,,
