 ,SESSION 1 TRAINING,,,,,,,,,,
,,,,,,,,,,,
,FIRST HALF OF THE WEEK - BRIEF SCENARIO TRAINING ,,,,,,,,,,
,,,,,,,,,,,
,TOPIC CONGRUENT - 10 SCENARIOS FOR EACH DOMAIN,,,,,,,,,,
,,,,,,,,,,,
,"Note: 1 scenario has to have a negative ending, 2 scenarios have to have a resilience ending ",,,,,,,,,,
,,,,,,,,,,,
,ACADEMICS,,,,,,,,,,
Scenario name,Scenario,Second part (resilience),Image ,Variable name,Ending word(s),Comprehension Question,Y/N,"Type of ending (positive, negative, or resilence) ",,,
Paper due ,"You have a paper due in your history class next week. You haven't started it yet because you're unsure how to answer the prompt. When you think about the turning in the paper on time, you feel",,https://drive.google.com/file/d/12ozsRqQm34HuapdP-IpswqSXrE7BODWH/view?usp=sharing,aca_017,capable ,Are you worried about turning in your paper on time?,N,positive,,,3
Lots of homework,"You have a lot of homework due tomorrow. You've been procrastinating getting it done because it is going to be hard. When you think doing your homework tonight, you are",,https://drive.google.com/file/d/1ctfYI6TZJr5mbm-BjK9jNskpLStAn1mj/view?usp=sharing,aca_095,ready,Are you going to complete your homework?,Y,positive,,,3
Test grade,"You studied hard for an important test. You see that you got a lower score than you expected. You think about whether you will be able to pull your grade up with the next test, and realize this was the last","Right now you aren't happy, but you think about your overall course grade. You realize that you will",https://drive.google.com/file/d/10SQmYfVuHzcGYJjADi5bmTtG4gXr2V9x/view?usp=sharing,aca_010,test; pass,Will you fail the class?,N,resilience,,,3
The science fair,"The science fair is next week and you've been working hard on your project. You overheard your classmates joking that only ""nerds"" participate. You think about the fun you've had preparing your project, and feel",,https://drive.google.com/file/d/1FgAT6eDZOwCymvidR0ecj3LNZxg62i1k/view?usp=sharing,aca_052,excited,Are you looking forward to participating in the science fair?,Y,positive,,,3
Picture day,"Today is picture day and you got a new haircut for it. It didn't turn out the way you wanted it to. When you think about others seeing your new haircut in the yearbook, you feel",,https://drive.google.com/file/d/1hJ5jSFgD9p0YWah_M35D5-XX1eWGMlRm/view?usp=sharing,aca_068,embarrassed,Are others going to judge you when they see your picture in the yearbook?,Y,negative,,,3
Raising your hand,Your teacher is talking about your favorite book in class and she asks if anyone has read it. In front of everyone you quickly raise your hand and the class turns to you. You realize that you feel,,https://drive.google.com/file/d/1m_8qmeODeDBlBanntvu6ima-H1mPTeDV/view?usp=sharing,aca_020,confident,Are you embarrassed that you raised your hand?,N,positive,,,3
Community college,"You've decided to go to community college after high school. You don't know anyone who is going to community college, and all of your friends are going to 4-year colleges. When you think about your decision, you feel like it's ",,https://drive.google.com/file/d/1McHRxEGY3iZSY7uGTmj-MS6dVQ9p-iPa/view?usp=sharing,aca_035,right,Are you satisfied with your decision to go to community college?,Y,positive,,,3
The college recruiter,"A college recruiter is at your soccer game today. During the soccer game, you accidentally pass the ball to the other team. You feel ","While you feel upset, you realize that it's natural to make mistakes. You think that the college recruiter won't",https://drive.google.com/file/d/1OxmZKd_5YhAmIXKwP_uAB44MswmWW_vC/view?usp=sharing,aca_069,defeated; remember,Is it okay that you made a mistake in front of the college recruiter?,Y,resilience,,,3
The math problem,The teacher calls you to the board to complete a math problem. As you are working on the problem you hear a loud burst of laughter behind you. Your classmates are laughing at a ,,https://drive.google.com/file/d/1PCBjV-wh2Zvpcz5rTcmzHsfjZQZ9gbns/view?usp=sharing,aca_023,joke,Are your classmates laughing at you?,N,positive,,,3
Report card ,"You got your report card today and you got a couple lower grades than you expected. Your friends are talking about their grades, and they said they got straight As. If you tell your friends your grades, they will be",,https://drive.google.com/file/d/1ruzqRzoiX02FLhAnwN6oJ70yaCOV9usy/view?usp=sharing,aca_081,understanding,Will your friends judge you for getting lower grades than them?,Y,positive,,,3
,Great job with those scenarios in your domain! Now you'll get to practice a few more scenarios that are from other domains. This will help you apply your flexible thinking skills to lots of different types of situations!,,,,,,,,,,
Breakout rooms,"During your English class over Zoom, you're placed into breakout rooms. When you start the discussion, your camera is on but everyone else leaves their cameras off and their mics muted. You think that the others will think that you are",,https://drive.google.com/file/d/1ZxZ_841mwj2NoY_cCWf9GHGmHmnONE6A/view?usp=sharing,aca_070,ready,Are the others in the class judging you?,N,positive,1,,
Number of likes on your post,"You have a lot of followers on social media. Your photo has only a few likes after a few hours, and usually by now you'd have a lot more reactions. You wonder if people aren't liking your post because you look","You remember why you posted your picture in the first place. After you think about it, you look at your picture you feel",https://drive.google.com/file/d/1xJHDDEq_Pcuyo7r3BJ3CX-cr5YI7YkrO/view?usp=sharing,sm_004,bad; better,Do you feel worried about having enough likes?,N,resilience,checking,1,
Upset parents ,"You notice your parents are upset but you don't know what's wrong. They give you a short answer when you try to talk with them at dinner. You consider why they're mad, and realize that it is not",,https://drive.google.com/file/d/1x8owNsmx6SS5vTpeM-BGHDCyAAOnwzbG/view?usp=sharing,hom_009,you,Are they upset with you?,N,Positive,1,5,
Cold day jog,"It's a cold day, and you are outside jogging. Your heart starts to beat quickly a few minutes in. You decide that this feeling is",,https://drive.google.com/file/d/1FS-osT_v7dH6pF1URFaIMXwErnTMFWu-/view?usp=sharing,phys_008,scary,Is your rapid heartbeat scary?,Y,negative,1,5,
Noise outside,You are babysitting a younger kid in your neighborhood and they just went to sleep. It's dark out and you suddenly hear noises outside. You peek out the window and see a ,,https://drive.google.com/file/d/11Vs9sz9BDAkaj5QCxD927t-mz-VTFWXn/view?usp=sharing,gen_018,cat,Was there something scary outside in the dark? ,N,positive,2,5,
,,,,,,,,,,,
,SOCIAL SITUATIONS,,,,,,,,,,
Scenario name,Scenario,Second part (resilience),Image,Variable name,Ending word(s),Comprehension Question,Y/N,"Type of ending (positive, negative, or resilence) ",,,
Spending time with friends,Your friends are talking about drinking and ask if you've drank before. You haven't. If you tell them the truth they will think that you are,,https://drive.google.com/file/d/1b59wrb9HS-snxNHTc5BoAcGwAL1lB0Rz/view?usp=sharing,soc_014,honest,Are your friends judging you for not drinking?,N,positive ,3,,
Friends making plans,You are hanging out with some friends. One of them invites another one to come over to their house on a different day without you. You think about it and realize you feel,You remember that friends sometimes hang out separately. This makes you feel ,https://drive.google.com/file/d/1fiU4LXhMtwbHsk-TL8j4fPXdxTFpO-rz/view?usp=sharing,soc_020_r,hurt; better,Was your friend trying to hurt your feelings by not inviting you?,N,resilience,3,,
Not invited,"Your friend is having a get together tonight. You weren't invited, but most of your other friends were. When you think about it, you realize it's because you are ",,https://drive.google.com/file/d/1FT4-kFl4XIhIEwsMLBSl0YXWekGvanqs/view?usp=sharing,soc_030,busy,Were you not invited because you were busy?,Y,positive ,3,,
Online class,"You're in your online class and look at everyone's video. You notice that among the others, you look different from everyone else. You think about this and realize it is ",,https://drive.google.com/file/d/1FYlM1a2tGzuMSOP9mBCzc1EGii_cJCXM/view?usp=sharing,soc_024,okay,Is it bad that you feel different from everyone else?,N,positive ,3,,
Unflattering picture,You send an intentionally bad picture of yourself to your friend through social media. You get a notification that they took a screenshot. Your friend probably thinks that you look,,https://drive.google.com/file/d/1J0J4QXLGvuGwdAr6_obR3Til-vHIuVs2/view?usp=sharing,soc_012,awful,Does your friend think you look good?,N,negative,3,,
Pool party,"You get invited to a pool party and you decide to wear a suit you got last year. You arrive and everyone else seems to have a swimsuit that is brand new. As you walk around, the host comes up to you and says you look",,https://drive.google.com/file/d/1nDFSN_jAmgWb6aEoUc5X8im4-FogUDvj/view?usp=sharing,soc_008,nice,Does the host of the party think you look bad?,N,positive ,3,,
