 ,SESSION 1 TRAINING,,,,,,,,,,,,
,,,,,,,,,,,,,
,FIRST HALF OF THE WEEK - BRIEF SCENARIO TRAINING ,,,,,,,,,,,,
,,,,,,,,,,,,,
,TOPIC CONGRUENT - 10 SCENARIOS FOR EACH DOMAIN,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Note: 1 scenario has to have a negative ending, 2 scenarios have to have a resilience ending ",,,,,,,,,,,,
,,,,,,,,,,,,,
,ACADEMICS,,,,,,,,,,,,
Scenario name,Scenario,Second part (resilience),Image ,Variable name,Ending word(s),Comprehension Question,Y/N,"Type of ending (positive, negative, or resilence) ",,,,,
College decision,"Your caregiver wants you to go to a specific college. You would rather go to a different college but your caregiver has made it clear they are not on board with the school choice. When you think about talking with your caregiver about your choice, you feel",,https://drive.google.com/file/d/1Z0nzrIQHVjl7UmtuA4nngOFyGYVvmBB-/view?usp=sharing,aca_087,prepared,Can you handle talking to your caregiver about your college choice?,Y,positive,1,,,,5
The history test,"You have a test in your history class today. You've been studying hard for it because it counts for a big chunk of your final grade. When the teacher places the test on your desk and you look at the first question, you feel",,https://drive.google.com/file/d/10SQmYfVuHzcGYJjADi5bmTtG4gXr2V9x/view?usp=sharing,aca_001,prepared,Do you feel ready for your test today? ,Y,positive,,,,,5
Typo in your paper,"You just turned in an important paper. As you're checking your submission, you see a typo in the first sentence. You believe that you should be",,https://drive.google.com/file/d/12ozsRqQm34HuapdP-IpswqSXrE7BODWH/view?usp=sharing,aca_094,concerned,Should you be worried about the typo?,Y,negative,,,,,5
The SAT,"You are taking your SATs tomorrow. You know that the score you need to get into the college of your dreams is high. As you think about the test, you know that you are",,https://drive.google.com/file/d/14Nvl5TtsEue_dp1IDNDjOJLPz4K-9zh1/view?usp=sharing,aca_039,ready,Are you prepared for the SAT?,Y,positive,,,,,5
Answering a question,"Your teacher asks a question to the class in your virtual classroom. You click the ""raise hand"" button and prepare your response. You think that you'll sound",You get called on and say your answer. Your friends probably thought you sounded,https://drive.google.com/file/d/1EAtQYOc6-pRw8ER3iMMHuueRb5q52TRs/view?usp=sharing,aca_036,dumb; knowledgeable,Did the other students think you sounded dumb? ,N,resilience,,,,,5
Graduation plans,"You'd like to go to technical school after graduation. Your family expects you to get into a challenging four-year college, and you don't want to let them down. When considering your plans for after graduation, you feel",,https://drive.google.com/file/d/1JKUinIevBXYcP_VV15nIa4MzJxgnkiOX/view?usp=sharing,aca_037,excited,Are you anxious about your plans for after graduation?,N,positive,,,,,5
Running a mile,"In gym class today, you have to run a mile. In order to get a good grade, you have to complete the mile within 13 minutes. When you think about running the mile, you feel",,https://drive.google.com/file/d/1lPsSc-k3x1u-SSuj4utoc-IGml63-yTq/view?usp=sharing,aca_062,prepared,Are you able to complete the mile in gym class today?,Y,positive,,,,,5
Texting during class,"Your teacher catches you texting during class and takes your phone away. You don't like when people are mad at you, but you know that your teacher will say something to you at the end of class. For the rest of class, you feel","When class ends, your teacher gives your phone back and reminds you to not have it out during class. You think your teacher is being ",https://drive.google.com/file/d/1fZ5gwS6hpP38y6RtFHzIC7gnpeeFtrLF/view?usp=sharing,aca_093,anxious; nice,Was your teacher mean about taking your phone away? ,Y,resilience,,,,,5
The book question,"Your teacher calls on you to answer a question about the book you just read. You don't know what to say, and your mind goes blank. After a few moments, you prepare your answer and feel",,https://drive.google.com/file/d/1peJsSeWbW75_7SXUaFUQcsUBkEkp3q7I/view?usp=sharing,aca_002,confident,Are you able to answer the question?,Y,positive,,,,,5
Spacing out ,You are sitting in your online classroom and space out for a minute. Your teacher calls on you to answer a question and you didn't hear it. You ask her to repeat her question and this makes you feel ,,https://drive.google.com/file/d/1ZxZ_841mwj2NoY_cCWf9GHGmHmnONE6A/view?usp=sharing,aca_016,fine,Are you comfortable asking your teacher to repeat her question?,Y,positive,,,,,5
,Great job with those scenarios in your domain! Now you'll get to practice a few more scenarios that are from other domains. This will help you apply your flexible thinking skills to lots of different types of situations!,,,,,,,,,,,,
Lots of homework,"You have a lot of homework due tomorrow. You've been procrastinating getting it done because it is going to be hard. When you think doing your homework tonight, you are",,https://drive.google.com/file/d/1ctfYI6TZJr5mbm-BjK9jNskpLStAn1mj/view?usp=sharing,aca_095,ready,Are you going to complete your homework?,Y,positive,,,3,,
Field trip,"You are on a field trip with your school to a local museum and have a group assignment to complete while you're there. You've been grouped with other students who usually don't care about getting a good grade. You start to think about how the assignment will go, and feel ",,https://drive.google.com/file/d/1BRfCeLw8RhJk4gf9kdPvA_AyVBkVFMXq/view?usp=sharing,gen_015,uneasy,Are you worried about completing the assignment?,Y,negative,2,4,,,
Not invited,"Your friend is having a get together tonight. You weren't invited, but most of your other friends were. When you think about it, you realize it's because you are ",,https://drive.google.com/file/d/1FT4-kFl4XIhIEwsMLBSl0YXWekGvanqs/view?usp=sharing,soc_030,busy,Were you not invited because you were busy?,Y,positive ,3,,,,
Lots of family members,"You live with a few extended family members. Your friend asks if they can come over after school to study, and they don't know how many people live in your home. As you picture your friend coming into your home, you think they will be","You consider that you live in a different situation compared to your friend. You also know that your friend is really nice, so will be ",https://drive.google.com/file/d/1gOgWMSmj9SUOfxHrpkgHpZkmIMjWY3Yq/view?usp=sharing,hom_020,surprised; accepting,Does your friend judge you for living with lots of extended family members?,N,Resilience ,2,,,,
Talking about school ,"You are talking to your parent about your day at school and suddenly you feel your throat go dry. You cough a little and reach for a glass of water. The water helps a little, and you realize that the dry through was probably",,https://drive.google.com/file/d/1EYKumlSsrqKHNA6TbZfnrscg0F5KgSYg/view?usp=sharing,phys_030,nothing,Does the dry throat mean that you are sick?,N,positive,2,,,,
,,,,,,,,,,,,,
,SOCIAL SITUATIONS,,,,,,,,,,,,
Scenario name,Scenario,Second part (resilience),Image,Variable name,Ending word(s),Comprehension Question,Y/N,"Type of ending (positive, negative, or resilence) ",,,,,
Comparing homes,"You notice your smaller home is not as spacious as the homes of others that you know. Your best friend has never been to your place, but wants to come over and spend the night. You think about their reaction to your home and they will be ",,https://drive.google.com/file/d/16XNeU_t_2Vi7Do5oyA9sEbGSMGB6zZe8/view?usp=sharing,soc_028,respectful,Will your friends judge your home?,N,positive,2,5,,,
Friends at the grocery store,"You are working at the grocery store bagging groceries and notice two friends who you have not seen in a while. They are buying drinks and snacks, and they say hi as they're checking out. They probably think that you are",,https://drive.google.com/file/d/19C7toEPndzExnPZqhv9WwfUM2jnf7-8D/view?usp=sharing,soc_025,normal,Are your friends judging you for working? ,N,positive,2,5,,,
Friends making plans,You are hanging out with some friends. One of them invites another one to come over to their house on a different day without you. You think about it and realize you feel,,https://drive.google.com/file/d/1fiU4LXhMtwbHsk-TL8j4fPXdxTFpO-rz/view?usp=sharing,soc_020,alright,"Are you upset that you weren't invited, too?",N,positive,2,5,,,
Sharing opinions,"You are talking with a group of friends about TV shows. When you say what you like about an old TV show that you just discovered, no one responds. They probably think that you are",,https://drive.google.com/file/d/1opDxSogFwDYpEb5PGw4jTADE96Y2WtG7/view?usp=sharing,soc_004,weird,Do your friends judge you for what you said about the TV show? ,Y,negative,2,5,,,
Sweat marks,"It's a warm day and you and your friends are taking a walk outside. You notice that you are starting to sweat, and you can see some marks on your shirt. You know these friends well, and they will not",,https://drive.google.com/file/d/1Wch_kcxO-_MSrBd4tyGQsC_dXyOttIIF/view?usp=sharing,soc_027,notice,Will your friends make fun of your sweat marks on your shirt? ,N,positive,2,5,,,
